 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
89.90000000000001, 9.884254, 148.3721, 21.14118, 48.73324, 181.1482, 20.92914, 387.0226, 34.38227, 179.9167, 1504.194, 2.13539, 0.002336162, 313.864, 1176.109, 3938.446
90, 9.354995, 152.6519, 19.65421, 46.00581, 165.482, 19.17398, 471.7585, 32.64381, 172.6439, 1432.715, 1.968355, 0.002230093, 291.7858, 1322.953, 3873.034
90.09999999999999, 8.854074, 144.9514, 18.27182, 43.43103, 151.1706, 17.56602, 658.318, 30.99326, 165.6651, 1386.107, 1.814385, 0.00212884, 271.2606, 1258.463, 3847.991
90.2, 8.379976, 172.3077, 16.98667, 41.00035, 138.0969, 16.0929, 843.527, 29.42616, 158.9684, 1341.472, 1.67246, 0.002032184, 252.1792, 1220.547, 3765.803
90.3, 7.931264, 170.685, 15.7919, 38.70571, 126.1539, 14.74333, 1040.952, 27.93829, 152.5424, 1277.725, 1.541636, 0.001939917, 234.4401, 1252.699, 3529.324
90.40000000000001, 7.506578, 162.0748, 14.68117, 36.53949, 115.2437, 13.50692, 980.0747, 26.52566, 146.3761, 1257.826, 1.421046, 0.001851838, 217.9488, 1191.634, 3511.184
90.5, 7.104633, 153.8989, 13.64857, 34.4945, 105.2771, 12.37421, 1014.439, 25.18445, 140.4591, 1244.814, 1.309888, 0.001767759, 202.6176, 1133.546, 3243.012
90.59999999999999, 6.72421, 146.1355, 12.68859, 32.56396, 96.17242, 11.33649, 955.1125, 23.91106, 134.7813, 1185.66, 1.207426, 0.001687497, 188.3648, 1078.289, 3146.461
90.7, 6.364157, 138.7637, 11.79613, 30.74148, 87.85514, 10.38579, 899.2554, 22.70205, 129.333, 1271.033, 1.112978, 0.00161088, 175.1146, 1045.573, 2965.264
90.8, 6.023383, 131.7637, 10.96645, 29.02098, 80.25716, 9.514822, 846.6649, 21.55418, 124.105, 1210.633, 1.025918, 0.001537741, 162.7964, 994.6042, 2883.111
90.90000000000001, 5.700856, 125.1169, 10.19512, 27.39678, 73.31628, 8.716893, 824.1307, 20.46434, 119.0883, 1153.104, 0.9456686, 0.001467922, 151.3448, 966.1174, 2662.909
91, 5.395599, 118.8054, 9.478041, 25.86348, 66.97567, 7.985879, 775.9337, 19.42961, 114.2743, 1098.308, 0.8716962, 0.001401274, 140.6987, 964.4753, 2623.135
91.09999999999999, 5.106688, 112.8122, 8.811399, 24.416, 61.18341, 7.31617, 831.6772, 18.4472, 109.655, 1046.116, 0.8035101, 0.001337652, 130.8015, 986.0155, 2552.39
91.2, 4.833246, 107.1214, 8.191647, 23.04952, 55.89209, 6.702623, 783.0389, 17.51446, 105.2224, 1130.035, 0.7406577, 0.001276918, 121.6005, 937.9503, 2357.448
91.3, 4.574446, 101.7177, 7.615484, 21.75952, 51.05837, 6.14053, 737.245, 16.62889, 100.969, 1076.336, 0.6827217, 0.001218942, 113.0467, 1003.839, 2355.762
91.40000000000001, 4.329504, 96.58652, 7.079846, 20.54172, 46.64269, 5.625575, 743.6661, 15.78808, 96.88747, 1133.537, 0.6293176, 0.001163598, 105.0946, 954.9054, 2292.922
