 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
365.8, 731.4616, 417.3559, 2294.425, 165.5209, 0.06682479, 964.8848, 511.4186, 17.43648, 184.8493, 594.7407, 592.8997, 828.0119, 424.734, 458.1358
365.9, 728.9161, 392.9746, 2186.031, 158.2916, 0.06395912, 911.8317, 485.2171, 16.30415, 1601.498, 560.8561, 715.1627, 775.0845, 398.3553, 430.3897
366, 692.2071, 370.0175, 2112.709, 151.3781, 0.06121634, 861.6957, 460.3579, 15.24535, 1863.986, 528.902, 1684.149, 806.427, 373.6149, 404.324
366.1, 657.3468, 348.4016, 2119.854, 144.7665, 0.05859118, 863.2129, 436.7723, 14.2553, 1845.065, 519.032, 1764.723, 754.8793, 350.411, 748.4138
366.2, 624.2421, 328.0485, 2044.253, 138.4437, 0.05607859, 815.7502, 414.3951, 13.32956, 1745.627, 489.4608, 1661.836, 706.6266, 328.6482, 1124.302
366.3, 592.8046, 351.4464, 1986.678, 132.397, 0.05367376, 839.166, 393.1644, 12.46393, 1745.07, 513.6055, 1750.541, 661.4583, 308.2371, 1083.263
366.4, 562.9504, 330.9154, 2050.183, 129.9887, 0.05137205, 941.3619, 373.0213, 11.65451, 1801.489, 519.2048, 1648.481, 619.1772, 289.0936, 1017.657
366.5, 534.5996, 311.5838, 1953.328, 124.3114, 0.04916904, 914.707, 353.9103, 10.89766, 1760.775, 489.6238, 1552.371, 626.4205, 271.139, 956.0251
366.6, 507.6766, 293.3815, 1934.749, 118.882, 0.04706051, 864.4129, 335.7784, 10.18996, 1643.64, 461.7281, 1461.865, 619.2676, 254.2995, 1063.282
366.7, 482.1095, 276.2425, 1883.174, 132.1122, 0.0450424, 875.0939, 318.5754, 9.528218, 1661.822, 435.4217, 1558.555, 655.6237, 238.5059, 998.8862
366.8, 457.83, 260.1048, 1891.277, 126.3421, 0.04311083, 826.978, 302.2538, 8.909451, 1551.269, 545.1305, 1532.497, 613.7156, 223.6931, 938.3907
366.9, 434.7732, 246.1572, 1801.929, 120.824, 0.04126209, 794.3555, 286.7684, 8.330866, 1448.071, 514.0724, 1471.489, 574.4863, 209.8004, 881.559
367, 412.8775, 278.6867, 1852.4, 115.5469, 0.03949264, 750.6788, 272.0763, 7.789855, 1351.739, 484.7838, 1404.329, 599.5681, 196.7704, 828.1691
367.1, 392.0846, 262.4062, 1810.264, 110.5003, 0.03779906, 783.4445, 258.137, 7.283977, 1463.371, 457.1638, 1354.751, 598.7823, 184.5497, 877.2247
367.2, 372.3388, 247.0768, 1817.37, 105.6741, 0.03617811, 740.3677, 347.1951, 6.810951, 1477.701, 431.1175, 1275.766, 560.5076, 173.088, 824.0974
367.3, 353.5874, 232.643, 1735.785, 101.0587, 0.03462667, 699.6595, 413.4198, 6.368644, 1379.397, 406.5551, 1590.556, 524.6793, 162.3381, 774.1876
367.4, 335.7804, 219.0523, 1697.876, 96.64485, 0.03314177, 661.1896, 392.239, 5.955061, 1416.499, 383.3921, 1558.876, 491.1413, 152.2559, 746.5294
367.5, 318.8701, 206.2555, 1625.986, 92.4238, 0.03172054, 624.8348, 393.9915, 5.568336, 1322.266, 361.5488, 1467.991, 459.747, 142.7998, 1133.445
367.6, 302.8115, 261.6642, 1653.503, 88.38711, 0.03036026, 594.6811, 373.8061, 5.206725, 1276.757, 488.6749, 1382.404, 483.4552, 133.931, 1124.469
367.7, 287.5616, 299.3714, 1647.287, 84.52672, 0.02905831, 671.71, 388.3524, 4.868598, 1191.821, 460.8332, 1707.365, 452.5523, 125.613, 1124.578
