 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
180.5, 7.585772, 41.01198, 203.0806, 35.8821, 312.4275, 201.3948, 743.1208, 100.6467, 410.7656, 172.3456, 166.1576, 27.99778, 271.8423, 676.5917, 424.5957, 576.4566, 483.0145, 84.67886, 1626.499
180.6, 55.5759, 38.89243, 192.9771, 33.93007, 292.4469, 194.175, 877.9365, 102.2494, 475.7215, 161.8108, 156.6626, 26.21718, 285.2141, 798.0644, 403.9098, 536.9502, 459.1159, 79.77352, 1554.982
180.7, 52.69506, 36.88242, 183.3761, 32.08423, 333.2453, 331.3542, 861.8771, 102.8322, 453.1268, 151.92, 147.7101, 24.54983, 271.8962, 761.4512, 384.2316, 500.1513, 489.2771, 75.15234, 1486.609
180.8, 49.96356, 34.97628, 174.2529, 30.33881, 311.9334, 312.559, 819.7682, 98.01611, 445.4566, 142.6337, 147.5936, 22.98852, 259.2001, 726.5177, 365.5122, 465.8743, 554.5245, 70.79885, 1421.242
180.9, 47.37365, 33.16866, 165.5835, 28.68834, 323.7066, 294.8299, 779.7166, 187.5546, 434.8044, 178.5899, 152.6562, 21.52651, 326.2815, 693.2332, 347.7047, 433.9465, 527.0878, 185.5704, 1358.75
181, 44.91799, 31.45446, 157.3454, 27.12765, 303.0047, 278.1065, 746.0825, 178.7705, 414.153, 167.6734, 178.3644, 20.15747, 322.3444, 661.4294, 330.7649, 404.2067, 501.0086, 174.8205, 1299.006
181.1, 42.58962, 29.82885, 149.5172, 39.73631, 283.6267, 484.8083, 709.6309, 170.3978, 439.7081, 157.4243, 168.1717, 22.48833, 307.2926, 631.0847, 384.6364, 376.5052, 476.2197, 164.6934, 1241.888
181.2, 40.38194, 28.28726, 142.0785, 91.78163, 265.488, 457.3089, 769.9955, 162.4173, 418.8239, 208.7115, 158.5616, 58.1447, 292.9438, 640.2732, 469.4071, 350.7021, 452.6574, 155.1529, 1187.282
181.3, 38.2887, 26.82533, 135.0099, 213.0058, 254.1458, 500.4987, 732.3756, 171.8856, 398.9316, 251.0721, 149.5006, 54.44683, 279.2649, 665.0833, 446.538, 355.2669, 559.9973, 146.1651, 1319.377
181.4, 36.30397, 25.43896, 167.3449, 227.9309, 237.8925, 472.1092, 696.5938, 202.4198, 464.0196, 235.7251, 140.9574, 57.79519, 266.2248, 634.5709, 440.4693, 376.048, 629.0063, 146.8754, 1336.164
181.5, 34.42212, 24.12424, 159.0192, 224.5846, 222.6786, 445.33, 718.7375, 192.9395, 501.3673, 266.6524, 132.9024, 54.11955, 253.7935, 687.4166, 419.01, 398.5768, 597.8844, 138.3671, 1277.412
181.6, 32.63781, 22.87747, 151.1077, 338.884, 208.4377, 420.0698, 683.622, 191.8105, 477.5545, 250.353, 264.159, 50.67767, 407.3521, 655.8796, 398.5962, 371.261, 683.0964, 130.3517, 1359.538
181.7, 30.946, 21.69513, 143.5899, 538.8294, 305.225, 396.2425, 756.5247, 198.7146, 522.2438, 498.9319, 249.0636, 47.45469, 414.7296, 625.7894, 379.1769, 395.7939, 649.2982, 122.8005, 1299.759
181.8, 29.34188, 20.5739, 158.948, 509.5164, 285.7051, 413.8153, 719.5629, 189.4079, 497.4395, 468.4342, 234.8309, 112.4647, 503.6141, 792.5216, 360.7038, 429.4461, 649.7959, 115.6869, 1305.422
181.9, 27.82091, 19.51061, 151.0401, 481.798, 461.8812, 390.3427, 879.8025, 241.5397, 473.8133, 439.8008, 221.4115, 105.3122, 624.7514, 756.1627, 511.3916, 400.0148, 617.6454, 108.9853, 1248.023
182, 26.37879, 18.50228, 143.5256, 458.6443, 432.3427, 368.2016, 836.8177, 230.2272, 451.3092, 459.5139, 208.759, 127.0356, 595.5789, 721.4718, 486.4771, 479.1261, 587.0856, 102.6719, 1193.147
182.1, 25.01142, 17.54606, 173.6623, 433.6935, 428.1481, 347.3163, 911.4091, 236.8029, 429.874, 431.4257, 196.8295, 120.6831, 673.1779, 795.7816, 511.3837, 582.8545, 621.9457, 96.72421, 1140.684
182.2, 46.13705, 16.63925, 165.0223, 503.5953, 400.7669, 327.6157, 866.8801, 225.7123, 409.4569, 405.0544, 193.2837, 121.5791, 641.7441, 759.2731, 486.4695, 542.9096, 591.1732, 91.12109, 1090.528
