 , C000, C003, C005, C008, C009, C010, C012, C015, C018, C019, C021, C022, C024, C026, C030, C033, C036, C037, C039, C040, C045, C047, C049, C062, C081, C082, C086, C118
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
161, 462.8711, 41.27905, 29.60354, 12.12449, 18.79803, 702.1631, 609.1619, 456.7289, 865.4, 982.3558, 2296.68, 149.0386, 742.7753, 1309.561, 2.039907, 1051.812, 154.6607, 1506.817, 469.0956, 324.5361, 1449.735, 836.1981, 1433.554, 1242.971, 759.7683, 1037.824, 465.6984, 106.6153
161.1, 444.9208, 39.11948, 27.86921, 11.5706, 17.86622, 867.6796, 580.5735, 435.3903, 824.8956, 940.7464, 2244.706, 207.2857, 707.665, 1252.522, 1.946101, 1000.346, 206.975, 1506.943, 447.8605, 369.9376, 1640.224, 799.1085, 1371.767, 1255.264, 721.1965, 986.4484, 444.5072, 102.1777
161.2, 422.1554, 37.0729, 120.0358, 11.04201, 16.98061, 882.354, 634.4834, 415.0486, 786.2869, 900.8995, 2157.293, 208.4353, 674.2144, 1197.967, 1.856608, 951.3988, 231.1095, 1424.747, 427.5867, 354.361, 1675.198, 920.4392, 1364.124, 1232.651, 684.5828, 937.6157, 488.8068, 97.92473
161.3, 490.9521, 35.13338, 115.4603, 10.53757, 73.07704, 866.3569, 604.7067, 432.7445, 749.4854, 943.4385, 2118.018, 199.0566, 642.3449, 1237.244, 1.771231, 928.1044, 217.3901, 1388.712, 408.2307, 339.4403, 1673.227, 886.986, 1302.736, 1174.025, 649.828, 935.5025, 500.148, 93.84881
161.4, 497.2345, 33.29533, 144.6019, 10.05617, 69.45467, 818.3273, 576.3274, 412.5264, 792.0214, 995.8071, 2103.945, 190.0999, 611.9819, 1313.51, 1.68978, 882.6915, 213.9238, 1467.557, 455.1239, 325.1478, 1632.543, 847.6437, 1346.674, 1118.187, 616.8376, 889.1918, 496.5539, 89.94254
161.5, 693.142, 31.55344, 136.1304, 9.596768, 73.11916, 832.4019, 569.3948, 393.2529, 784.8743, 953.628, 2073.113, 293.4779, 583.0541, 1256.299, 6.397017, 839.5007, 274.5934, 1456.672, 434.5213, 311.4571, 1604.425, 886.4853, 1306.307, 1241.615, 585.522, 845.1736, 702.5056, 86.19887
161.6, 657.6758, 29.90268, 128.1552, 9.158352, 69.49471, 874.4553, 674.321, 374.8799, 925.0153, 1024.927, 1980.977, 280.2727, 555.4937, 1201.58, 6.102846, 949.5452, 258.2927, 1439.567, 436.7749, 298.3429, 1532.525, 847.1652, 1247.521, 1182.562, 555.7963, 861.4094, 670.5386, 82.61102
161.7, 647.2191, 28.33828, 120.6472, 8.739964, 66.0499, 825.9767, 642.6746, 357.3653, 895.3329, 981.5141, 1892.936, 267.6617, 529.236, 1338.442, 5.822203, 991.5428, 254.3885, 1361.046, 417.0029, 285.7809, 1597.721, 809.5892, 1408.184, 1143.319, 527.5797, 852.6669, 640.0262, 79.1725
161.8, 614.1027, 26.85572, 113.5791, 8.340691, 62.77586, 780.1858, 712.4728, 340.669, 853.4275, 939.9404, 2004.515, 341.3254, 504.2195, 1280.145, 5.554465, 943.0258, 239.2872, 1286.808, 398.126, 273.7477, 1693.435, 838.5335, 1344.814, 1245.207, 500.7956, 810.4568, 610.9023, 75.87711
161.9, 582.6807, 25.45073, 106.925, 7.959657, 59.66411, 792.951, 694.2649, 324.7527, 908.1219, 951.2863, 1915.428, 325.9672, 480.3856, 1224.387, 5.299039, 923.2153, 295.9345, 1268.276, 410.0801, 262.2213, 1636.277, 810.8303, 1284.295, 1281.336, 475.3712, 770.3364, 583.1037, 72.71887
