 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
173.3, 177.2455, 27.69956, 260.4001, 0.6775378, 287.3748, 508.052, 50.56429, 299.8083, 105.1665, 313.7807, 335.9608, 337.859, 160.6529, 271.5459, 187.1141, 572.0445, 393.6698, 992.9406, 691.1725, 56.73789
173.4, 165.7223, 25.72392, 247.4325, 0.6337166, 268.0051, 482.0463, 47.59708, 280.5459, 98.71729, 297.2903, 309.3435, 317.7875, 150.7154, 252.4284, 178.1915, 539.7182, 360.5545, 1188.395, 747.6155, 54.18707
173.5, 154.9483, 23.8892, 235.1108, 0.5927297, 249.9409, 457.3718, 44.80398, 266.431, 92.66358, 281.6665, 386.6879, 298.9084, 141.3926, 234.6568, 371.9616, 509.2187, 330.2249, 1404.789, 779.4426, 51.75092
173.6, 144.8748, 22.18533, 223.4026, 0.5543936, 233.0943, 433.9604, 42.17479, 249.313, 86.98111, 266.8639, 444.6788, 281.1509, 132.6465, 218.1364, 391.7787, 480.4427, 302.4466, 1464.473, 770.2365, 49.4243
173.7, 135.4561, 20.60299, 212.2775, 2.257888, 217.3832, 411.7472, 39.69989, 233.2948, 81.6471, 252.8391, 409.4481, 264.4483, 124.4414, 202.7791, 475.472, 453.2928, 277.0049, 1672.653, 772.9562, 47.20228
173.8, 126.6498, 19.13351, 201.7065, 36.63614, 202.731, 390.6711, 37.37022, 218.3058, 76.6402, 239.5515, 385.3114, 248.738, 116.7438, 188.5029, 452.7989, 427.6772, 253.7034, 1590.963, 802.6387, 45.08015
173.9, 118.416, 17.76883, 191.6618, 34.26662, 189.0665, 370.6738, 35.17726, 204.2799, 71.94034, 226.9621, 354.7842, 233.961, 214.0417, 175.2318, 696.3782, 403.5091, 232.362, 1520.024, 838.9788, 43.05344
174, 110.7175, 16.50149, 361.8245, 100.7596, 176.323, 351.7002, 68.21203, 299.4649, 67.52869, 215.0344, 326.6756, 220.0619, 247.9132, 162.8951, 663.171, 380.7068, 212.8159, 1432.748, 794.0347, 41.11784
174.1, 103.5195, 15.32454, 343.8062, 94.24281, 164.4384, 390.9972, 64.20921, 346.404, 63.38758, 203.7335, 314.0303, 206.9885, 232.578, 151.4269, 631.5472, 455.783, 194.9139, 1553.464, 861.3356, 39.26926
174.2, 96.78951, 14.23154, 326.6852, 88.14746, 153.3548, 370.9832, 60.44128, 335.1971, 59.50042, 193.0265, 289.1505, 194.6917, 218.1915, 140.7661, 601.4315, 430.0266, 249.5806, 1464.267, 815.1939, 37.50379
