 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
122.6, 190.479, 142.2796, 541.3764, 204.4631, 328.4771, 114.776, 19.37855, 527.7792, 506.7853, 269.7826, 927.9255, 6.020172, 2.743956, 781.0729, 188.3748, 52.76792, 738.252, 412.0274, 407.9136, 921.8704, 904.6777, 0.05020181
122.7, 201.0202, 131.7685, 587.0427, 198.3702, 329.123, 169.986, 17.92227, 640.9319, 648.7172, 287.7211, 960.8592, 5.650834, 2.534061, 740.5834, 176.9384, 49.36194, 873.779, 393.7741, 385.6196, 874.9603, 965.457, 0.047812
122.8, 247.4044, 122.0339, 558.2725, 232.6111, 408.6585, 159.4681, 16.57542, 604.2012, 650.9775, 268.7554, 1034.847, 5.304155, 2.340222, 702.1927, 166.1963, 46.1758, 1020.356, 376.3294, 433.5285, 830.4371, 954.8735, 0.04553595
122.9, 229.9334, 166.4433, 577.1805, 219.3041, 389.8491, 149.601, 15.32979, 569.5754, 680.5026, 251.0398, 1046.877, 4.978745, 2.16121, 665.7921, 163.1774, 43.19532, 967.9029, 359.6576, 409.8346, 788.1796, 976.9905, 0.04336825
123, 213.6962, 154.1471, 548.8937, 235.9567, 371.9054, 140.3445, 14.17776, 629.0102, 641.7262, 241.5658, 1073.135, 4.673298, 1.995891, 754.2529, 153.2708, 40.40722, 1049.361, 343.7243, 504.6793, 796.7333, 1016.835, 0.04130375
123.1, 235.1323, 142.7593, 521.9931, 230.1264, 354.7877, 131.6607, 13.11232, 592.9627, 630.0827, 231.2218, 1069.505, 4.38659, 1.843219, 829.7769, 202.8163, 37.79908, 1092.688, 328.4969, 477.0967, 756.1909, 965.5181, 0.03933752
123.2, 218.528, 132.2127, 496.4109, 258.7939, 338.4578, 123.5142, 12.12693, 558.981, 594.1793, 222.8613, 1013.822, 4.117473, 1.702224, 786.7626, 192.326, 311.4347, 1036.517, 313.9441, 543.0457, 717.7114, 1166.408, 0.03746489
123.3, 279.4259, 122.4453, 570.9869, 243.9891, 322.8795, 115.8718, 11.2156, 551.7801, 560.3218, 208.171, 1064.984, 3.864865, 1.572015, 745.9781, 180.6497, 291.3327, 1134.666, 300.036, 557.9706, 681.1901, 1296.198, 0.03568141
123.4, 343.1357, 113.3995, 630.4129, 230.0312, 308.0182, 108.7022, 10.37276, 582.8217, 565.8386, 194.449, 1044.88, 3.627755, 1.451766, 796.4354, 169.6823, 272.5282, 1155.064, 346.7986, 703.1112, 703.5681, 1281.463, 0.03398283
123.5, 318.9045, 105.022, 615.0018, 216.8718, 293.841, 101.9763, 9.593251, 549.4212, 597.0178, 181.6315, 1148.072, 3.405192, 1.340716, 817.5684, 159.3807, 254.9375, 1184.845, 331.4351, 664.6836, 677.8578, 1216.791, 0.03236511
