 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
54.4, 1080.413, 632.7354, 50.14257, 948.8301, 75.78197, 114.6442, 1211.187, 0.2834651, 65.57537, 266.8775, 29.43892, 53.69192, 136.4277, 0.3324721, 3.651578, 161.2223, 141.6584, 9.669571, 412.2568, 175.676, 210.8282, 7.742678, 1429.291
54.5, 1024.95, 599.5319, 47.7421, 949.2554, 71.74483, 109.3833, 1211.127, 0.2702708, 62.56356, 255.4746, 28.19909, 51.21354, 130.5483, 0.3161272, 3.473682, 153.5858, 189.3545, 9.228978, 450.0938, 168.367, 200.4482, 7.404689, 1494.58
54.6, 1055.783, 568.0709, 45.45655, 915.3394, 67.92277, 104.3639, 1168.803, 0.2576906, 59.69008, 244.5588, 27.01147, 48.84955, 124.9222, 0.3005859, 3.304453, 146.3111, 180.8862, 8.808461, 429.5864, 161.3621, 190.5793, 7.081454, 1431.804
54.7, 1125.704, 597.3187, 43.28042, 961.457, 64.30431, 99.57473, 1119.982, 0.245696, 56.94857, 234.1095, 25.87388, 46.59469, 119.5386, 0.2858086, 3.143469, 139.381, 172.7967, 8.407104, 513.0153, 154.6487, 181.1962, 6.77233, 1491.682
54.8, 1145.749, 565.9738, 41.20847, 908.5019, 60.87863, 95.00537, 1110.314, 0.2342597, 54.33298, 224.1066, 24.78419, 44.44391, 114.387, 0.2717578, 2.990327, 132.7791, 204.7227, 8.024035, 506.9846, 148.2145, 172.2752, 6.476699, 1429.027
54.9, 1086.932, 536.2737, 39.23571, 1103.672, 57.63544, 90.6457, 1074.193, 0.2233557, 51.83752, 214.5311, 23.74039, 42.39241, 109.4574, 0.2583977, 2.844646, 126.4899, 195.5671, 7.658421, 522.1168, 142.0481, 163.7933, 6.193974, 1369.004
55, 1110.078, 508.1322, 37.35738, 1085.948, 54.56503, 86.48608, 1098.507, 0.2129592, 49.45667, 205.3647, 22.74056, 40.4356, 104.7403, 0.2456944, 2.706062, 120.4986, 186.821, 7.309466, 498.3278, 136.1382, 155.7291, 5.92359, 1311.501
55.1, 1053.092, 481.4675, 35.56898, 1059.589, 51.65818, 82.51735, 1052.622, 0.2030467, 47.18518, 196.59, 21.78284, 38.56912, 100.2264, 0.2336157, 2.574229, 114.7911, 178.466, 6.976411, 475.6227, 130.4742, 148.0619, 5.665009, 1375.092
55.2, 1036.7, 523.7241, 33.8662, 1145.25, 48.90619, 78.73074, 1134.997, 0.1935955, 45.01801, 188.1903, 20.86544, 36.7888, 95.90711, 0.2221307, 2.448819, 109.3539, 207.6567, 6.658532, 549.6407, 125.0458, 140.7722, 5.417717, 1385.42
55.3, 1081.485, 496.2412, 32.24493, 1082.172, 46.30081, 75.11788, 1087.589, 0.1845843, 42.95037, 180.1494, 19.98669, 35.09065, 91.77393, 0.2112104, 2.329519, 104.1742, 198.3699, 6.355136, 524.5977, 119.8433, 133.8414, 5.181219, 1327.228
