 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
191.2, 142.8742, 167.2324, 59.44376, 15.98145, 362.0482, 2.463711, 247.4419, 81.22779, 6.144172, 295.9887, 44.33134, 398.9772, 557.9398, 155.6048, 716.024, 154.1354, 356.0789, 334.55, 40.81127, 332.6567, 91.1246, 1805.373, 336.81, 623.9541
191.3, 135.8165, 158.1495, 56.79712, 14.68072, 340.4827, 2.289538, 257.4313, 77.13551, 5.761673, 274.122, 41.22164, 374.8838, 527.8024, 147.5443, 676.2971, 146.2628, 485.8137, 420.4615, 38.76455, 314.7736, 86.64584, 1904.246, 440.3623, 638.637
191.4, 129.1075, 149.5599, 54.26831, 13.48586, 320.2018, 2.127679, 288.592, 73.24939, 45.86913, 253.8707, 38.33007, 352.2454, 521.0187, 139.9013, 638.7744, 138.7924, 560.1768, 399.6264, 36.82046, 297.8518, 82.3872, 1794.891, 429.691, 608.7747
191.5, 122.7299, 141.4369, 51.85209, 12.38825, 301.1288, 1.977262, 272.0325, 69.55906, 107.3615, 235.1155, 35.64134, 330.9741, 492.8757, 132.6543, 603.3335, 131.7034, 638.7897, 379.8237, 34.97388, 281.8398, 78.33788, 1760.125, 408.2064, 580.3087
191.6, 116.6673, 133.755, 49.54345, 11.37997, 283.192, 1.837479, 256.4231, 66.05465, 249.9469, 434.4849, 33.14121, 310.9872, 481.1217, 125.7827, 569.8589, 124.9766, 607.7684, 361.0023, 61.3225, 266.6885, 74.48757, 1758.785, 410.8138, 553.1737
191.7, 110.9042, 126.4904, 47.3376, 10.45376, 266.3235, 1.707578, 296.3705, 62.72679, 239.1686, 402.3865, 30.81646, 292.2074, 455.1337, 119.267, 538.2417, 118.5933, 643.1942, 422.4401, 189.495, 252.3517, 70.82652, 1861.218, 468.4288, 527.3076
191.8, 105.4258, 210.2124, 45.22996, 9.602926, 250.4599, 1.586861, 279.3646, 59.56659, 224.2794, 372.6594, 28.65478, 274.5616, 430.5494, 113.0888, 508.3786, 112.5361, 611.959, 401.5069, 179.9916, 238.7856, 67.3454, 1988.731, 604.679, 502.6509
191.9, 211.7406, 198.7952, 43.21616, 8.821345, 235.5411, 1.474678, 263.3345, 56.56561, 210.3172, 345.1285, 26.64474, 257.9814, 407.2931, 107.2307, 480.1725, 106.7883, 739.7367, 381.611, 204.2654, 225.9489, 64.03538, 2244.792, 574.445, 479.1472
192, 201.2811, 187.998, 41.29203, 8.103377, 221.511, 1.370425, 248.2242, 53.71581, 214.0471, 319.6315, 24.77569, 242.4025, 385.293, 101.6761, 453.5312, 101.334, 756.4266, 362.701, 194.0213, 213.8022, 60.88804, 2401.905, 713.0457, 456.7425
192.1, 360.0291, 177.7872, 39.45356, 7.443845, 208.3167, 1.273543, 233.981, 51.00959, 200.7219, 296.0181, 23.03776, 227.7643, 413.5387, 139.6143, 428.3681, 96.15829, 793.5771, 344.7281, 184.2909, 202.3085, 57.8954, 2371.774, 677.3933, 435.3854
