 , C003, C006, C008, C012, C013, C014, C017, C019, C023, C025, C028, C031, C037, C039, C042, C060, C076, C077, C088, C089, C094, C099, C100, C107, C109, C114, C115, C136, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
396.8, 150.1889, 154.0449, 1892.494, 949.6831, 2343.825, 1518.82, 1537.566, 2503.517, 1769.921, 887.1036, 1229.774, 864.7487, 1743.782, 1480.724, 461.0692, 855.0572, 1135.374, 1570.459, 2172.587, 1924.292, 731.1558, 1713.108, 1321.649, 2250.381, 2133.446, 2074.487, 1342.07, 2185.482, 3252.223
396.9, 143.3206, 146.9338, 2555.757, 902.7495, 2465.931, 1443.694, 1502.797, 3004.961, 1690.696, 839.1809, 1545.571, 858.8773, 1664.296, 1409.49, 439.8948, 814.9961, 1081.034, 1504.485, 2080.931, 1949.848, 695.8522, 2137.157, 1338.781, 2206.928, 2124.569, 2247.916, 1280.918, 2084.929, 3234.348
397, 136.7664, 140.151, 2416.516, 964.6788, 2374.155, 1517.85, 1513.64, 2855.396, 1615.018, 793.847, 1473.267, 814.647, 1751.899, 1341.683, 419.6929, 776.812, 1029.295, 1534.608, 2170.371, 1987.86, 662.2532, 2036.01, 1366.924, 2261.154, 2201.448, 2244.998, 1222.553, 1989.001, 3458.744
397.1, 130.5119, 133.6812, 2284.861, 917.004, 2271.385, 1543.459, 1448.333, 2713.275, 1677.334, 750.9622, 1404.345, 772.6944, 1965.301, 1277.138, 400.4187, 740.4168, 980.0319, 1509.92, 2347.169, 1906.784, 747.1157, 1939.65, 1368.792, 2268.75, 2155.176, 2248.285, 1346.026, 2211.679, 3310.938
397.2, 124.5435, 127.5102, 2178.863, 938.6331, 2523.507, 1708.66, 1452.796, 2578.228, 1615.419, 710.3941, 1338.647, 732.9023, 1875.717, 1373.661, 382.0297, 805.8851, 933.1267, 1720.513, 2274.841, 1829.015, 711.0414, 1847.85, 1398.366, 2243.567, 2097.896, 2146.235, 1284.694, 2109.92, 3331.114
397.3, 175.9786, 121.624, 2331.069, 892.2455, 2414.272, 1624.144, 1449.597, 2695.289, 1638.581, 672.0175, 1276.023, 695.1594, 1790.216, 1307.578, 415.449, 768.1278, 953.2391, 1648.236, 2243.392, 1869.186, 872.0343, 1970.66, 1329.142, 2373.646, 2065.318, 2225.753, 1226.156, 2240.224, 3239.502
397.4, 167.9309, 116.0096, 2204.069, 901.4946, 2420.637, 1594.43, 1476.145, 2612.824, 1623.764, 635.7141, 1415.393, 801.3461, 1722.178, 1244.674, 542.8012, 732.1395, 907.6163, 1613.865, 2235.854, 1970.355, 829.9284, 1969.746, 1487.885, 2341.306, 2020.642, 2241.875, 1294.085, 2137.151, 3251.456
397.5, 160.2512, 110.6543, 2083.988, 991.152, 2376.421, 1642.506, 1566.824, 2511.792, 1658.896, 601.3719, 1388.125, 760.0784, 1781.877, 1263.675, 517.8734, 764.3046, 935.2087, 1546.712, 2267.08, 1889.993, 839.6115, 1876.522, 1414.23, 2243.192, 2032.24, 2248.61, 1235.12, 2092.464, 3156.304
397.6, 152.9228, 105.5462, 2160.549, 942.1689, 2273.553, 1561.263, 1499.222, 2570.955, 1690.707, 568.8848, 1323.186, 720.936, 1757.278, 1202.883, 494.0903, 728.4955, 907.1176, 1492.279, 2216.089, 1901.819, 838.4327, 1981.602, 1394.312, 2281.715, 1948.382, 2175.317, 1178.841, 2256.338, 3234.269
397.7, 145.9295, 100.6739, 2289.448, 936.1611, 2254.884, 1484.038, 1501.787, 2683.974, 1728.919, 538.1528, 1391.465, 683.8094, 1677.176, 1145.015, 471.3994, 694.3641, 863.7022, 1486.404, 2297.993, 1824.252, 852.8149, 1967.279, 1325.29, 2302.149, 1997.131, 2245.786, 1125.127, 2270.903, 3096.056
397.8, 139.256, 96.02658, 2164.715, 889.8956, 2157.277, 1410.633, 1436.991, 2667.296, 1651.529, 509.0809, 1326.37, 648.5947, 1750.474, 1209.268, 449.7507, 771.0543, 948.0489, 1437.342, 2288.78, 1816.3, 811.637, 2051.066, 1493.767, 2205.676, 2050.462, 2143.848, 1073.86, 2273.175, 3115.61
