 , C000, C001, C002, C003, C004, C007, C010, C012, C015, C019, C022, C024, C025, C026, C029, C033, C035, C036, C040, C041, C044, C045, C051, C058, C062, C063, C064, C068, C076, C077, C078, C079, C085, C104, C106, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
43.1, 252.6624, 1835.877, 3738.193, 806.3429, 5893.938, 1554.578, 551.5597, 0.02904369, 1252.743, 1839.829, 1679.477, 926.2755, 1028.299, 240.2359, 2249.774, 3172.311, 1887.294, 1415.219, 472.8185, 1018.417, 0.5994402, 2640.582, 1392.585, 0.1161444, 381.9247, 1140.465, 2864.315, 2555.887, 3038.384, 1367.805, 2112.145, 65.50161, 0.1041941, 1534.312, 2069.309, 3266.704
43.2, 240.2671, 2145.292, 3653.052, 775.8477, 5834.453, 1489.153, 526.4833, 0.0278578, 1202.975, 1901.3, 1768.537, 1180.721, 1101.208, 230.0656, 2303.375, 3106.611, 1968.115, 1480.533, 452.6125, 1025.563, 0.5743602, 2716.466, 1326.795, 0.1106604, 363.5963, 1207.914, 2738.209, 2464.385, 3004.312, 1302.184, 2206.287, 62.62373, 0.09958358, 1465.454, 2147.378, 3383.71
43.3, 228.4799, 2114.695, 3638.898, 797.1817, 6041.697, 1468.904, 516.5742, 0.02672033, 1231.521, 1919.06, 1706.386, 1136.745, 1054.819, 220.3259, 2200.911, 3104.901, 1884.474, 1411.773, 433.2701, 1085.356, 0.5503296, 2702.534, 1375.933, 0.1054353, 346.1474, 1191.807, 2617.655, 2512.512, 2987.298, 1321.4, 2186.877, 59.8723, 0.09517708, 1399.685, 2183.581, 3422.498
43.4, 217.271, 2180.659, 3538.477, 806.906, 6061.707, 1417.563, 493.0884, 0.0256293, 1176.12, 1841.588, 1789.953, 1149.902, 1069.581, 210.9985, 2164.931, 3090.488, 1804.387, 1346.207, 414.7543, 1034.589, 0.5273044, 2615.04, 1437.374, 0.100457, 409.2987, 1162.073, 2502.408, 2534.196, 3044.787, 1258.005, 2193.594, 57.24175, 0.09096557, 1336.869, 2260.067, 3280.526
43.5, 298.734, 2243.717, 3425.108, 772.7013, 6006.794, 1357.904, 488.844, 0.02458283, 1169.847, 1767.244, 1716.017, 1106.202, 1117.008, 202.0659, 2226.633, 3067.343, 1790.915, 1283.685, 397.0297, 1032.163, 0.5052425, 2684.551, 1369.468, 0.09571372, 410.9271, 1198.388, 2544.683, 2424.805, 2959.36, 1197.651, 2201.771, 54.72678, 0.08694041, 1345.693, 2162.719, 3287.53
43.6, 284.0785, 2149.605, 3459.729, 739.9465, 6062.106, 1312.798, 466.6189, 0.02357908, 1149.928, 1695.901, 1827.041, 1143.72, 1069.954, 193.5116, 2127.583, 3013.852, 1714.804, 1224.068, 380.0626, 983.8841, 0.4841036, 2673.069, 1361.935, 0.09119441, 436.5858, 1149.128, 2594.555, 2320.135, 2903.217, 1140.193, 2135.12, 52.32231, 0.08309336, 1383.44, 2201.46, 3357.38
43.7, 270.142, 2085.658, 3456.735, 708.5801, 5981.865, 1394.667, 445.4043, 0.02261631, 1098.198, 1828.514, 1751.572, 1204.2, 1024.882, 185.3193, 2032.94, 2988.575, 1699.412, 1240.376, 363.8206, 1022.632, 0.4638493, 2652.752, 1310.381, 0.08688849, 479.6078, 1261.573, 2480.325, 2278.673, 3070.477, 1261.874, 2045.537, 50.02348, 0.07941654, 1321.352, 2267.843, 3395.927
43.8, 439.5464, 2277.377, 3505.34, 678.5435, 6064.865, 1415.48, 545.0109, 0.02169286, 1069.46, 1754.698, 1712.674, 1206.078, 1110.307, 177.4739, 2080.286, 2900.295, 1645.626, 1182.77, 348.2727, 974.7996, 0.4444423, 2596.074, 1423.697, 0.08278588, 456.5916, 1222.555, 2371.124, 2471.751, 3007.999, 1201.335, 1959.713, 47.82565, 0.07590242, 1262.051, 2170.16, 3330.469
43.9, 487.1591, 2181.854, 3550.846, 649.78, 5982.679, 1426.812, 520.2322, 0.02080711, 1051.393, 1683.861, 1844.114, 1215.671, 1201.643, 169.9606, 2187.473, 2958.896, 1631.072, 1174.389, 333.3892, 929.204, 0.4258473, 2566.629, 1398.844, 0.07887699, 483.425, 1168.804, 2556.148, 2365.055, 3068.331, 1143.7, 1991.737, 45.72438, 0.07254379, 1269.433, 2186.013, 3300.068
44, 547.8565, 2279.712, 3487.662, 622.2358, 5934.97, 1458.043, 496.5801, 0.01995753, 1004.096, 1687.918, 1827.531, 1363.366, 1151.024, 162.7654, 2329.427, 3039.703, 1738.887, 1238.234, 319.1418, 965.9796, 0.4080303, 2678.989, 1449.902, 0.07515266, 554.7321, 1158.796, 2489.329, 2360.645, 2950.323, 1088.83, 1939.171, 43.71544, 0.06933378, 1212.462, 2148.32, 3283.979
