 , C004, C009, C017, C026, C027, C029, C030, C032, C033, C034, C038, C043, C048, C050, C052, C056, C059, C060, C061, C064, C068, C071, C072, C078, C080, C085, C088, C089, C098, C102, C117, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
32.1, 901.6837, 2100.866, 484.2735, 1016.931, 943.749, 1530.276, 712.8288, 1080.268, 332.2287, 768.9169, 1226.68, 346.4647, 565.3231, 1797.429, 1874.738, 691.6892, 703.4445, 812.7892, 1248.473, 1177.426, 747.3696, 1702.301, 2914.389, 657.2446, 1255.254, 125.3429, 252.1385, 515.0062, 993.6666, 1857.993, 1312.099, 930.5057
32.2, 944.9668, 2131.214, 451.9805, 969.8848, 903.6016, 1738.579, 670.6535, 1030.901, 315.0367, 735.7505, 1171.849, 331.7967, 658.7988, 1776.033, 1873.247, 656.2058, 670.4097, 773.4241, 1355.431, 1125.551, 780.6457, 1630.268, 2977.872, 629.0402, 1195.09, 119.9883, 238.7832, 490.3186, 946.3267, 1845.147, 1415.776, 890.5986
32.3, 904.8024, 2121.502, 512.0707, 925.015, 1067.655, 1832.708, 630.9736, 1007.247, 298.7344, 704.0149, 1119.468, 317.7497, 631.451, 1829.892, 1977.671, 821.462, 638.9263, 913.9671, 1296.917, 1075.962, 902.6399, 1561.283, 3005.664, 602.0461, 1137.809, 114.8625, 226.1354, 553.1406, 901.2421, 1934.137, 1354.435, 852.4031
32.4, 1018.668, 2093.185, 812.0588, 1010.891, 1092.125, 1861.545, 672.301, 980.9386, 283.2757, 760.4519, 1069.428, 304.2974, 723.516, 1907.833, 2174.701, 897.6232, 608.9214, 1002.711, 1240.93, 1028.558, 870.1103, 1495.217, 3110.414, 576.2105, 1083.274, 109.9556, 258.6565, 579.8767, 982.9391, 1964.253, 1295.751, 1001.066
32.5, 1082.452, 1991.231, 1248.513, 1047.214, 1310.382, 1775.583, 1207.924, 1029.78, 514.673, 919.5317, 1164.113, 291.4146, 816.8947, 2329.156, 2620.125, 1365.125, 580.3256, 1501.057, 1402.74, 983.2416, 903.1375, 1431.946, 3122.576, 551.4835, 1316.446, 105.2584, 244.956, 571.6384, 1126.452, 2362.696, 1408.707, 1120.072
32.6, 1036.444, 1965.015, 1692.625, 998.7672, 1434.609, 1759.57, 2689.472, 1054.114, 607.1137, 879.8688, 1112.078, 279.0772, 1086.119, 2925.511, 3071.961, 2039.667, 791.7872, 1428.357, 1611.803, 939.9222, 985.3146, 1371.353, 3290.605, 527.8177, 1804.017, 100.7618, 231.9812, 792.2073, 1600.348, 2581.937, 1639.438, 1072.034
32.7, 992.3912, 1943.22, 2126.283, 952.5612, 1373.581, 1742.01, 3288.861, 1005.943, 575.6971, 925.4761, 1131.766, 267.2622, 1145.489, 2932.958, 2926.736, 2374.521, 844.5253, 1359.179, 1542.222, 898.5113, 943.9366, 1313.324, 3286.192, 505.1674, 1873, 96.45736, 219.6937, 1055.15, 1524.105, 2706.241, 1914.539, 1192.257
32.8, 950.2112, 1848.571, 2665.748, 908.4929, 1315.148, 1731.685, 3383.239, 959.9728, 545.9063, 943.0075, 1081.176, 255.9473, 1206.35, 2839.542, 2788.377, 2462.752, 804.8652, 1293.351, 1475.645, 858.9249, 940.0756, 1257.75, 3152.442, 507.5446, 1964.201, 92.33676, 208.057, 1472.57, 1451.494, 2795.927, 1923.77, 1191.44
32.9, 909.8239, 1934.669, 2706.832, 866.4633, 1259.201, 1651.719, 3223.418, 916.1036, 517.6571, 902.332, 1032.849, 245.1115, 1239.6, 2696.79, 2656.559, 2336.414, 767.0676, 1230.711, 1563.628, 821.0826, 900.5975, 1204.528, 3062.975, 729.1621, 1870.057, 88.3922, 197.0367, 1663.426, 1382.343, 3119.87, 2197.585, 1140.342
33, 871.1532, 1840.436, 2717.238, 826.3781, 1205.635, 1575.447, 3032.701, 874.2392, 490.8697, 863.4111, 1018.499, 234.7344, 1188.143, 2670.434, 2530.973, 2354.661, 731.045, 1171.105, 1673.587, 784.9075, 862.7772, 1153.558, 3230.792, 776.5925, 1780.426, 84.61615, 186.6001, 1798.61, 1316.486, 3081.818, 2102.37, 1091.435
33.1, 834.1262, 1750.793, 2690.462, 788.1474, 1154.347, 1568.681, 2853.268, 834.2879, 465.4685, 826.1689, 1042.188, 224.7967, 1138.821, 2536.184, 2411.323, 2327.15, 696.7141, 1114.385, 1685.604, 750.3262, 826.5452, 1104.745, 3141.471, 787.9315, 1834.716, 81.00141, 176.7162, 1817.939, 1253.766, 3109.087, 2208.245, 1044.627
33.2, 798.6729, 1675.797, 2840.153, 764.6593, 1105.24, 1529.755, 2684.451, 796.1624, 441.3817, 790.5332, 995.6025, 215.2796, 1143.578, 2472.36, 2297.33, 2207.768, 663.9954, 1060.413, 1701.025, 717.2686, 791.8348, 1384.941, 3013.611, 795.9656, 1746.778, 77.54108, 167.356, 1798.349, 1194.035, 3042.148, 2112.568, 1063.938
33.3, 815.4854, 1610.591, 2650.762, 967.4225, 1058.223, 1561.446, 2525.623, 759.7791, 418.5414, 756.4345, 951.0998, 206.1655, 1096.106, 2348.067, 2188.725, 2094.51, 632.8132, 1009.055, 1627.592, 685.6672, 758.582, 1429.456, 2936.698, 761.8082, 1663.055, 74.22858, 158.4915, 1712.143, 1137.149, 3039.693, 2021.037, 1018.308
