 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
19.88467527217818, 17.21517, 0.001189776, 0.5608457, 8.589442, 1.563625, 0
19.98459826349566, 16.29672, 0.001140315, 0.5376467, 13.13814, 1.497044, 0
20.08452125481314, 15.42727, 0.001092911, 0.5154073, 23.49487, 1.433298, 0
20.18444424613061, 14.60421, 0.001047477, 0.4940878, 24.59094, 1.372266, 0
20.28436723744809, 24.20571, 0.001003932, 0.4736502, 26.07132, 1.313833, 0
20.38429022876557, 37.25473, 0.0009621975, 2.677215, 32.14555, 1.257889, 0
20.48421322008305, 35.26715, 0.0009221978, 2.767751, 30.72964, 1.204326, 0
20.58413621140053, 33.3856, 0.000883861, 2.653265, 29.3761, 1.153044, 0
20.68405920271801, 33.19891, 0.0008471177, 2.543514, 48.27824, 1.103946, 0
20.78398219403548, 31.42771, 0.0008119021, 3.276925, 46.15174, 1.056939, 0
20.88390518535296, 40.36411, 0.0007781503, 9.622869, 45.5204, 1.011933, 0
20.98382817667044, 42.50098, 0.0007458017, 11.07267, 54.48909, 0.9688438, 0
21.08375116798792, 50.34467, 0.0007147976, 10.61465, 67.58873, 0.9275892, 0
21.1836741593054, 47.65872, 0.0006850826, 10.17559, 64.61166, 0.8880913, 0
21.28359715062288, 45.11607, 0.0006566029, 9.75468, 61.76571, 0.8502752, 0
21.38352014194036, 44.07752, 0.0006293071, 11.70894, 59.04512, 0.8140694, 0
21.48344313325783, 41.72594, 0.000603146, 11.22461, 57.89974, 0.7794053, 0
21.58336612457531, 39.49981, 0.0005780724, 10.76031, 55.34943, 0.7462173, 0
21.68328911589279, 43.40693, 0.0005540412, 10.31522, 70.19926, 0.7144424, 0
21.78321210721027, 41.09112, 0.000531009, 17.99104, 67.1072, 0.6840205, 0
21.88313509852775, 38.89886, 0.0005089344, 17.24685, 64.15134, 0.6548941, 0
21.98305808984523, 36.82356, 0.0004877773, 16.53345, 61.32567, 0.6270079, 0
22.0829810811627, 34.85898, 0.0004674999, 15.84955, 63.0814, 0.6003091, 0
22.18290407248018, 32.99921, 0.0004480653, 15.19395, 61.02082, 0.5747471, 0
22.28282706379766, 37.33274, 0.0004294387, 14.56546, 58.33304, 0.5502737, 0
22.38275005511514, 35.34099, 0.0004115864, 13.96297, 55.76365, 0.5268424, 0
22.48267304643262, 33.45551, 0.0003944763, 13.3854, 53.30744, 0.5044087, 0
22.58259603775009, 31.67062, 0.0003780774, 12.83172, 55.1419, 0.4829304, 0
22.68251902906757, 29.98096, 0.0003623603, 12.30095, 59.82648, 0.4623666, 0
22.78244202038505, 28.38144, 0.0003472965, 11.79213, 57.19131, 0.4426784, 0
22.88236501170253, 26.86725, 0.000332859, 11.30435, 55.46415, 0.4238286, 0
22.98228800302001, 25.43386, 0.0003190216, 22.0023, 53.02113, 0.4057814, 0
23.08221099433749, 24.07693, 0.0003057595, 21.09219, 50.68571, 0.3885028, 0
23.18213398565496, 29.03406, 0.0002930486, 20.21972, 49.01276, 0.3719598, 0
23.28205697697244, 27.48506, 0.0002808662, 21.31809, 46.8539, 0.3561213, 0
23.38197996828992, 26.0187, 0.0002691903, 20.43629, 44.79013, 0.3409572, 0
23.4819029596074, 24.63057, 0.0002579997, 22.20321, 49.66597, 0.3264388, 0
23.58182595092488, 26.59016, 0.0002472744, 21.28479, 52.24587, 0.3125387, 0
23.68174894224235, 25.17154, 0.0002369948, 20.40436, 49.94461, 0.2992304, 0
23.78167193355983, 23.82861, 0.0002271426, 19.56035, 51.09036, 0.2864888, 0
23.88159492487731, 22.55733, 0.0002177001, 18.75125, 57.92473, 0.2742897, 0
23.98151791619479, 21.35387, 0.0002086499, 17.97561, 55.37333, 0.2626101, 0
24.08144090751227, 20.21461, 0.0001999761, 17.23207, 54.67134, 0.2514279, 0
24.18136389882975, 19.13614, 0.0001916629, 19.06378, 52.26324, 0.2407217, 0
24.28128689014722, 18.11521, 0.0001836952, 18.54296, 70.83572, 0.2304715, 0
24.3812098814647, 17.14874, 0.0001760587, 17.77594, 67.71562, 0.2206577, 0
24.48113287278218, 16.23383, 0.0001687397, 17.04065, 64.73296, 0.2112619, 0
24.58105586409966, 15.36774, 0.000161725, 16.33578, 66.91598, 46.29966, 0
24.68097885541714, 14.54785, 0.0001550018, 21.26027, 79.62789, 44.32816, 0
24.78090184673462, 15.26467, 0.0001485582, 20.38085, 94.13363, 42.44061, 51.17109
24.8808248380521, 24.03415, 0.0001423825, 19.53781, 92.4053, 40.63344, 49.0075
24.98074782936957, 22.7519, 0.0001364635, 18.72964, 99.00616, 47.0148, 67.90736
