 , C000, C001, C002, C003, C004, C005, C006, C007, C010, C012, C014, C015, C018, C019, C020, C023, C024, C026, C035, C050, C058, C085, C089, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
257.5, 52.34789, 96.65778, 77.85972, 4.887388, 444.4367, 130.3606, 8.377532, 82.15366, 153.3069, 252.4489, 293.6227, 83.24414, 557.5035, 920.1406, 663.0348, 268.8689, 1618.414, 238.8138, 33.42316, 1354.031, 1047.504, 528.1628, 733.0667, 633.9206
257.6, 49.58016, 90.84666, 73.51582, 4.549484, 424.3722, 122.394, 7.959567, 77.42031, 146.6085, 241.2764, 357.5411, 78.76593, 531.3193, 870.8901, 623.2634, 270.8353, 1595.329, 225.7337, 31.32462, 1387.416, 993.1139, 500.7693, 691.6885, 606.1982
257.7, 46.95876, 85.3849, 69.41428, 4.234942, 405.2136, 114.9143, 7.562454, 72.95968, 207.6249, 230.5984, 339.5002, 74.52863, 536.9261, 824.2758, 585.8776, 333.8385, 1764.063, 213.3701, 29.35784, 1482.715, 1079.603, 474.7966, 652.6459, 579.6882
257.8, 44.47596, 80.25151, 65.54157, 3.942147, 386.9199, 281.1352, 7.185154, 68.75605, 198.5533, 444.3405, 538.1771, 70.51928, 522.1728, 969.9393, 550.7343, 445.2448, 1891.681, 201.6837, 27.51455, 1554.283, 1146.87, 493.7164, 774.5221, 599.2379
257.9, 42.12443, 75.42674, 61.88493, 3.669596, 369.4521, 263.9544, 6.826678, 64.79462, 222.7877, 424.6756, 511.0216, 66.72562, 567.2634, 918.0234, 580.5275, 468.8458, 1898.24, 190.6373, 118.0208, 1768.931, 1335.038, 468.1095, 730.8039, 573.0322
258, 39.89723, 70.89204, 58.43229, 64.52631, 352.7729, 247.8236, 6.486086, 61.06142, 213.0535, 405.8809, 575.4756, 63.13604, 676.6523, 868.8862, 700.0866, 654.1127, 2158.373, 180.196, 246.7254, 1690.204, 1584.529, 493.3771, 846.0162, 662.2002
258.1, 37.78778, 66.62997, 55.17228, 60.06509, 549.6889, 232.6786, 151.4991, 57.54332, 203.7446, 387.9181, 591.6789, 59.73956, 644.8721, 849.8832, 745.7242, 644.8959, 2064.167, 170.3265, 231.2343, 1718.526, 1602.718, 537.9119, 937.688, 725.1215
258.2, 35.78987, 62.62414, 52.09415, 141.8578, 524.8727, 264.7255, 252.3978, 235.9718, 360.3688, 370.7502, 723.4623, 56.52581, 778.1537, 816.0796, 700.9927, 608.804, 2032.322, 160.9976, 216.7158, 1642.042, 1787.028, 510.0128, 884.7598, 693.4108
258.3, 33.89759, 58.85914, 49.18775, 132.0501, 501.1769, 248.5476, 338.9068, 293.7921, 408.8923, 354.342, 749.7361, 329.0799, 741.6063, 893.8966, 658.9445, 665.6284, 2122.009, 152.1796, 203.1088, 1568.963, 1990.524, 483.5606, 834.8192, 663.0868
258.4, 32.10536, 55.3205, 46.4435, 122.9204, 478.5509, 314.8335, 378.5632, 276.865, 391.0267, 338.6601, 711.9057, 576.7729, 795.4807, 846.0508, 754.4509, 628.3762, 2316.476, 143.8446, 190.3562, 1552.901, 2027.006, 604.2789, 897.8134, 756.3974
258.5, 30.40788, 51.99459, 43.85236, 114.422, 456.9464, 295.5934, 359.6762, 260.9132, 373.9417, 323.6722, 675.9842, 545.7448, 758.1194, 800.766, 815.1061, 854.9655, 2215.37, 135.9661, 178.4043, 1483.788, 2015.679, 572.9376, 847.136, 723.3189
258.6, 28.80016, 48.86865, 41.40578, 106.5111, 436.3171, 283.38, 341.7315, 245.8805, 357.6033, 441.622, 641.8752, 611.108, 722.5129, 812.2661, 766.2128, 807.1169, 2118.676, 128.5192, 167.2029, 1511.05, 1968.762, 543.2218, 889.3311, 691.687
258.7, 27.27744, 45.93064, 39.0957, 209.4448, 416.6193, 266.0621, 324.6821, 231.7139, 341.9787, 422.0774, 609.4873, 578.2327, 688.5788, 864.5768, 720.2524, 761.9462, 2026.202, 121.4801, 156.7047, 1443.801, 1866.537, 515.0472, 973.0493, 661.4384
258.8, 25.83523, 43.16926, 36.9145, 194.9643, 397.8106, 249.8025, 308.4833, 218.3635, 327.0367, 502.5979, 578.7336, 547.126, 656.2384, 818.3004, 746.3614, 719.3035, 1937.765, 114.8265, 146.8657, 1379.544, 1769.62, 488.334, 1082.579, 714.5138
258.9, 24.46927, 40.5739, 34.855, 181.4848, 379.8512, 275.6839, 293.0927, 205.7823, 312.7477, 480.3547, 549.5317, 517.6928, 682.6656, 774.5009, 800.5733, 747.9969, 1853.188, 108.5374, 137.6444, 1499.016, 1677.735, 463.0062, 1118.476, 683.267
259, 23.17553, 38.13457, 32.91039, 181.5438, 362.7025, 258.8363, 278.4699, 193.926, 299.0829, 459.0959, 521.8033, 489.843, 829.2775, 797.4528, 752.5518, 872.0901, 1954.558, 102.5927, 129.0022, 1432.302, 1676.096, 438.9921, 1055.343, 694.5287
259.1, 21.9502, 51.06767, 31.10353, 245.5664, 346.328, 243.0183, 264.5767, 182.7528, 286.0152, 438.7779, 495.4741, 463.4913, 790.3289, 793.5813, 806.3208, 851.2716, 2025.925, 96.97363, 120.9025, 1368.557, 1631.77, 416.2235, 1162.275, 758.0759
259.2, 20.78965, 47.99745, 29.36822, 228.5884, 330.6927, 228.1669, 251.3767, 172.2234, 273.5184, 547.8965, 470.4733, 438.5573, 753.2097, 805.3079, 757.9545, 803.6298, 1961.77, 91.66231, 113.3114, 1421.505, 1671.25, 394.6358, 1096.67, 732.4801
259.3, 19.69046, 45.11181, 27.72973, 212.7843, 315.7633, 214.2232, 238.8352, 162.3006, 261.5677, 523.6485, 446.734, 414.9646, 717.8337, 762.2038, 712.4894, 758.6542, 1931.865, 86.64189, 106.1969, 1358.24, 1584.473, 374.1678, 1262.507, 700.4476
259.4, 18.64939, 42.39967, 26.18265, 198.0729, 301.5079, 201.1316, 294.8183, 254.6721, 250.1391, 500.4736, 424.1926, 541.42, 921.1045, 851.0933, 669.7515, 716.1958, 1847.546, 81.89645, 99.52913, 1297.791, 1502.202, 354.7613, 1325.538, 669.8159
259.5, 108.2567, 39.85057, 24.72189, 184.3785, 287.8961, 188.84, 536.3566, 447.0989, 239.2099, 528.5581, 402.7886, 567.8795, 877.8431, 805.5386, 629.5772, 838.225, 1867.756, 77.41091, 93.27999, 1272.513, 1424.202, 584.5171, 1250.718, 678.4711
259.6, 102.5329, 37.45473, 23.34262, 171.631, 274.8988, 177.2996, 676.5822, 421.3389, 228.7582, 505.166, 438.0746, 955.6871, 975.81, 762.4221, 591.8127, 892.3084, 1786.234, 73.17106, 87.42322, 1299.658, 1350.253, 686.4539, 1371.916, 838.574
259.7, 97.11182, 35.20293, 22.04031, 159.7648, 262.4883, 166.4645, 819.9971, 397.0632, 218.7632, 482.8091, 489.5398, 904.2748, 929.9792, 842.7577, 556.3134, 932.1387, 2016.625, 69.16342, 81.93417, 1332.478, 1427.252, 821.6424, 1294.477, 984.598
259.8, 91.97733, 54.69957, 20.81065, 148.719, 250.638, 156.2915, 856.4479, 374.1861, 209.2048, 461.4417, 464.8385, 855.6284, 886.301, 831.9637, 522.9435, 923.9005, 1928.606, 65.37529, 242.0514, 1413.592, 1353.144, 779.0274, 1374.642, 994.5963
259.9, 87.1143, 89.42486, 19.6496, 138.4369, 367.1018, 146.7402, 813.7187, 352.627, 200.0641, 575.8343, 441.3836, 809.5989, 844.6743, 834.8177, 491.5753, 872.1939, 1908.252, 61.79464, 226.8537, 1398.563, 1319.988, 738.6227, 1297.05, 951.101
260, 82.5084, 84.04858, 18.55333, 128.8656, 350.5287, 137.7726, 773.1213, 332.3102, 191.3228, 550.3499, 419.1121, 766.0456, 805.0026, 896.499, 462.0887, 823.3812, 1824.963, 58.4101, 212.6103, 1396.201, 1251.449, 700.3135, 1223.837, 924.4441
260.1, 78.14602, 151.9823, 17.51821, 178.5761, 334.7038, 129.353, 734.5493, 313.1639, 182.9634, 525.9933, 397.9644, 724.8353, 864.9319, 941.8124, 434.3708, 777.3002, 1745.309, 55.21093, 199.2611, 1334.062, 1186.47, 663.9913, 1154.757, 884.0167
260.2, 74.01429, 142.845, 16.54085, 181.8353, 319.5934, 121.448, 697.9017, 295.1207, 174.9693, 502.7147, 377.8839, 685.842, 833.0275, 891.4019, 408.3156, 1258.627, 1792.95, 52.18699, 232.1526, 1274.689, 1155.035, 629.553, 1278.268, 1040.026
260.3, 70.10101, 134.2571, 15.61801, 258.4254, 305.165, 114.0261, 663.0826, 278.1171, 167.3244, 480.4663, 358.8165, 648.9464, 881.0595, 843.6896, 570.724, 1572.239, 1858.064, 49.32866, 234.5612, 1217.959, 1095.062, 596.9008, 1267.596, 1148.659
260.4, 66.39464, 126.1855, 14.74667, 240.5585, 291.3881, 107.0577, 630.0005, 262.0932, 160.0136, 459.2025, 367.0161, 614.0356, 839.6789, 798.5312, 641.8295, 1507.844, 1809.431, 46.6269, 219.8338, 1284.902, 1117.521, 565.9422, 1462.573, 1117.576
260.5, 62.88422, 118.5992, 13.92393, 223.9268, 360.9172, 100.5152, 665.2261, 246.9925, 153.0222, 438.8798, 391.4678, 581.0029, 980.1623, 755.7899, 658.0839, 1477.574, 1730.455, 44.0731, 206.0311, 1250.022, 1059.495, 536.5892, 1422.419, 1181.141
260.6, 59.55941, 111.4689, 13.1471, 219.2572, 633.8506, 94.3725, 632.0372, 232.7618, 146.3362, 419.4565, 431.3537, 549.7472, 1003.157, 715.3362, 618.6094, 1512.497, 1720.498, 41.65919, 213.5997, 1244.388, 1067.428, 508.7587, 1342.13, 1129.488
260.7, 56.41039, 104.7673, 12.4136, 269.2792, 786.9974, 88.6052, 600.504, 219.3511, 139.9424, 400.8929, 409.5883, 520.1729, 1031.638, 677.0479, 618.1884, 1427.849, 1645.404, 39.37748, 235.9047, 1281.257, 1012.003, 482.3716, 1599.32, 1080.094
260.8, 53.42786, 98.46865, 11.72103, 250.6618, 751.4677, 83.19035, 570.5441, 206.713, 209.432, 383.1507, 388.9212, 492.1896, 983.1852, 640.809, 971.0208, 1347.939, 1573.587, 37.22075, 221.093, 1224.235, 959.4564, 457.3531, 1886.42, 1032.859
260.9, 50.60303, 92.54866, 11.0671, 233.3316, 717.5421, 78.10642, 542.079, 194.8031, 200.2814, 366.1938, 369.2969, 465.7118, 937.0081, 606.5097, 1805.359, 1272.501, 1504.905, 35.18214, 207.2112, 1169.75, 909.6381, 433.6322, 2481.447, 1078.159
261, 47.92755, 98.44751, 10.44965, 217.1995, 685.1481, 73.33318, 515.034, 183.5793, 191.5306, 349.9874, 350.6629, 440.6583, 934.7597, 574.0463, 1959.679, 1201.285, 1595.259, 33.25519, 194.201, 1297.618, 862.4066, 411.1416, 2587.327, 1031.01
261.1, 45.39352, 139.3389, 9.866654, 202.1828, 654.2165, 68.85164, 489.3383, 173.0023, 183.1621, 334.4981, 332.969, 416.9526, 890.857, 543.3204, 2109.908, 1134.054, 1602.201, 31.43377, 182.0078, 1309.644, 951.4376, 389.8174, 2660.922, 1099.56
