 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C016, C018, C022, C023, C024, C038, C072, C083, C128, C130
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
341, 1545.508, 15.94477, 416.6627, 662.9052, 422.1274, 557.0941, 189.1945, 1.218615, 665.9417, 55.93425, 1652.615, 376.8826, 496.603, 557.9865, 147.104, 305.9213, 401.0664, 434.9536, 35.20782, 550.2188, 780.5887
341.1, 1782.162, 15.09233, 481.0398, 749.617, 394.8132, 523.4855, 178.4895, 1.156944, 689.8469, 52.82839, 1580.35, 357.5571, 532.6042, 571.396, 140.4977, 287.6707, 417.989, 412.4716, 33.41973, 525.6089, 746.7472
341.2, 1695.142, 14.28546, 459.987, 712.6765, 369.2663, 491.9045, 168.3902, 1.098395, 658.5789, 49.89499, 1575.116, 339.2225, 510.4846, 539.4454, 134.1881, 275.9872, 398.2231, 391.1517, 31.72244, 502.0997, 746.9446
341.3, 1612.371, 13.52174, 439.8555, 730.3517, 345.3725, 462.2287, 158.8623, 1.042808, 628.7281, 47.12448, 1506.239, 321.8281, 573.032, 509.2814, 128.1619, 259.5224, 491.9693, 370.9338, 30.11135, 553.6216, 762.7713
341.4, 1797.813, 12.79884, 597.5876, 694.3606, 323.0248, 553.8779, 149.8735, 0.9900343, 687.0967, 44.5078, 1440.375, 479.18, 549.2333, 480.8041, 122.4063, 244.0398, 468.705, 391.8492, 28.58209, 611.6295, 764.54
341.5, 1780.246, 12.11459, 571.434, 660.1431, 302.1231, 520.4633, 141.3933, 0.9399313, 734.3837, 42.03642, 1749.458, 454.609, 532.5677, 453.9192, 116.9092, 229.481, 446.5409, 371.5952, 27.13049, 584.2728, 731.3942
341.6, 1693.32, 11.46692, 546.425, 627.6118, 335.7381, 489.0646, 138.2959, 0.892364, 741.6547, 39.70227, 2487.512, 431.2979, 510.4496, 428.5375, 111.6589, 215.7906, 425.4248, 352.3882, 25.75262, 625.006, 854.3237
341.7, 1974.039, 10.85388, 522.5106, 596.6836, 321.4741, 459.5601, 331.0386, 0.8472039, 708.0385, 37.49772, 2849.99, 409.1821, 489.2501, 404.5751, 106.6444, 202.9171, 405.3073, 334.1739, 24.44472, 597.051, 817.2855
341.8, 2101.652, 10.27361, 561.7634, 567.2795, 300.6727, 431.8355, 312.3078, 126.686, 675.9459, 35.41559, 3752.155, 388.2003, 468.931, 381.9526, 101.8552, 190.8115, 386.1411, 316.901, 23.20325, 570.3463, 927.2628
341.9, 2173.997, 9.724363, 537.1776, 539.3245, 281.2173, 493.9853, 294.6367, 223.4484, 799.0117, 33.44907, 4438.149, 368.2945, 496.5434, 360.5951, 97.28098, 179.4281, 367.8813, 300.521, 22.02482, 544.8361, 1154.105
342, 2473.633, 9.204481, 513.6678, 512.747, 263.0208, 464.1839, 282.6799, 212.1403, 762.7957, 31.59175, 4487.225, 349.4093, 475.9214, 340.4318, 92.9122, 168.7238, 350.4849, 284.9876, 20.90625, 684.1472, 1104.07
342.1, 2472.89, 8.712393, 556.9567, 487.4793, 246.0018, 497.6334, 266.6853, 201.4044, 728.2211, 29.83755, 4642.881, 449.6079, 497.479, 321.396, 88.73962, 158.6581, 333.9111, 270.2572, 19.84448, 707.1378, 1158.579
342.2, 2537.377, 8.246613, 532.5813, 547.9252, 238.6317, 467.612, 251.5956, 191.2119, 859.9751, 28.18077, 4439.858, 426.5533, 504.5729, 401.0927, 84.75443, 149.1929, 318.1211, 256.2881, 18.83664, 675.5092, 1108.35
342.3, 3204.252, 7.805733, 596.6987, 520.9239, 223.1907, 439.4017, 237.3598, 181.5352, 981.6186, 26.61598, 4440.859, 404.6808, 483.6175, 395.6835, 80.94821, 140.2924, 437.591, 264.2015, 17.87999, 645.2953, 1060.299
342.4, 4353.576, 7.388424, 674.7056, 560.2044, 208.7489, 587.2936, 223.9295, 172.3482, 937.1257, 25.13807, 4417.574, 431.1654, 583.5726, 373.5582, 77.31292, 164.9128, 416.8982, 254.2238, 16.97192, 616.4329, 1014.331
342.5, 5614.181, 6.993425, 669.825, 532.598, 195.2416, 551.8632, 277.6491, 163.6261, 899.5793, 23.74223, 4224.403, 468.1228, 642.2147, 352.6701, 73.84089, 155.0744, 397.1839, 300.7814, 16.10996, 841.5389, 1077.105
342.6, 6308.765, 6.619544, 759.358, 506.3521, 182.6082, 537.8347, 304.3422, 155.3455, 858.8049, 22.4239, 4292.982, 611.4752, 639.9297, 338.8506, 70.52478, 145.8231, 378.4019, 285.2346, 15.29179, 858.9741, 1030.409
342.7, 6872.137, 6.265651, 754.8392, 510.8115, 195.2573, 505.3879, 287.1219, 147.4839, 819.8787, 21.17877, 4110.801, 580.1204, 661.4221, 333.9971, 67.3576, 137.1236, 360.508, 270.4913, 14.51516, 1045.715, 985.7365
342.8, 7052.542, 58.56473, 822.3371, 485.6391, 182.623, 474.8987, 270.8759, 140.0201, 782.7169, 20.00278, 4224.86, 565.2421, 633.9525, 385.5632, 64.33265, 128.9431, 343.4602, 256.5101, 13.77798, 998.9431, 943.001
342.9, 7079.335, 55.43375, 786.3473, 461.7072, 170.8061, 446.2488, 255.5492, 132.9341, 747.2394, 18.89209, 4449.859, 536.258, 607.6237, 364.0038, 61.44355, 121.2506, 327.2187, 243.2516, 13.07824, 989.0367, 902.1183
343, 6945.136, 52.47016, 763.9098, 622.4884, 166.146, 419.3273, 358.8647, 126.2066, 748.1371, 17.84307, 4255.276, 508.7601, 582.3884, 343.6499, 58.68419, 114.0171, 311.7451, 230.6784, 12.41404, 1170.111, 863.008
343.1, 6773.417, 61.36473, 838.8345, 591.8127, 155.3954, 394.0299, 338.5594, 119.8197, 829.2367, 16.8523, 4122.548, 482.6723, 558.2012, 324.4342, 56.04875, 107.2151, 405.4769, 218.755, 11.78356, 1117.775, 825.5933
343.2, 6641.068, 58.08406, 802.1227, 562.6487, 145.3403, 418.2067, 361.0041, 113.7559, 791.6507, 15.91654, 4235.296, 457.9222, 547.7866, 306.2929, 53.53167, 100.8189, 386.3027, 337.7959, 11.18511, 1067.78, 789.8006
343.3, 6457.637, 54.97878, 818.7657, 585.3314, 135.9359, 392.9769, 395.0508, 107.999, 755.7683, 15.03274, 4050.095, 573.4197, 525.0364, 368.6524, 51.12762, 94.80426, 401.9671, 320.3358, 10.61705, 1020.021, 871.5484
343.4, 6142.321, 52.03951, 937.8199, 556.4868, 127.14, 369.2693, 484.3572, 102.5335, 823.3457, 14.19802, 4044.708, 544.0163, 503.2311, 348.0386, 48.83154, 89.14845, 382.9588, 370.5975, 10.07785, 1262.046, 882.8404
343.5, 6287.375, 49.25738, 896.7759, 529.0635, 118.9133, 346.9918, 456.9512, 97.34457, 786.0267, 13.40965, 3998.067, 601.0408, 482.3314, 328.5774, 46.63858, 83.83006, 364.8495, 428.3226, 9.566023, 1205.598, 943.133
343.6, 6033.263, 46.62399, 857.5283, 502.9917, 111.2189, 326.0583, 489.4066, 92.41822, 989.1185, 12.66505, 4077.427, 639.2194, 533.5343, 310.2045, 44.54409, 78.82894, 347.5964, 406.1834, 9.080194, 1214.028, 963.3228
343.7, 5873.75, 92.11336, 879.6356, 478.2047, 104.0223, 306.3878, 461.7149, 87.74119, 1038.765, 11.9618, 3992.192, 611.8194, 550.1541, 292.8589, 42.54367, 74.12618, 331.1593, 385.1885, 8.619038, 1159.727, 921.5591
343.8, 5926.492, 87.1888, 937.0972, 543.2634, 97.29144, 287.9039, 487.9606, 83.30085, 991.6819, 11.2976, 4007.917, 580.447, 527.3056, 276.4832, 40.63308, 69.70398, 391.2921, 398.1378, 8.181303, 1107.855, 881.606
343.9, 5783.195, 82.52753, 896.0849, 516.4919, 90.99609, 270.5351, 460.3508, 79.08522, 946.7328, 10.67028, 3968.448, 571.9998, 505.406, 261.0231, 38.8083, 65.54559, 372.7887, 391.0634, 7.7658, 1058.304, 986.205
344, 5638.917, 149.9817, 912.9342, 491.0396, 85.10808, 254.2141, 434.3031, 75.08293, 1025.483, 10.07779, 3906.062, 542.6692, 548.9704, 246.4276, 74.45206, 61.63529, 355.1602, 370.8501, 7.371398, 1081.845, 943.4492
