 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
255.7, 1560.539, 46.95284, 0.2512521, 175.6852, 1416.292, 1760.104, 89.47708, 930.6694, 472.6378, 1139.568, 1871.744
255.8, 1529.928, 44.61365, 0.2366521, 165.1956, 1416.175, 1658.897, 84.8908, 1001.925, 717.1514, 1065.198, 1774.005
255.9, 1445.893, 42.39101, 0.2229005, 155.3322, 1353.158, 1744.209, 80.5396, 949.1369, 681.3099, 1131.208, 1719.152
256, 1366.475, 40.27909, 0.209948, 185.4211, 1436.702, 1712.445, 76.41142, 899.13, 647.2596, 1099.871, 1660.258
256.1, 1399.083, 38.2724, 0.1977482, 185.605, 1425.486, 1613.979, 72.49484, 976.5905, 614.9111, 1138.861, 1677.209
256.2, 1452.062, 36.36567, 0.1862572, 250.7523, 1467.994, 1521.174, 68.77901, 925.1372, 584.1793, 1064.537, 1716.545
256.3, 1372.304, 34.55394, 0.175434, 235.7806, 1402.672, 1433.706, 65.25365, 876.3948, 554.9835, 995.0632, 1626.91
256.4, 1408.105, 32.83247, 0.1652397, 350.8198, 1671.949, 1588.279, 61.90897, 853.3444, 527.2467, 930.1235, 1728.108
256.5, 1410.397, 31.19676, 0.1556378, 329.8734, 1597.552, 1626.807, 58.73574, 808.3845, 500.8962, 950.2408, 1637.869
256.6, 1332.928, 29.64255, 0.1465939, 310.1776, 1526.464, 1552.986, 55.72515, 1132.962, 475.8626, 1238.59, 1709.811
256.7, 1331.062, 28.16576, 0.1380755, 291.6579, 1458.54, 1690.078, 52.86888, 1073.27, 452.0801, 1157.758, 1704.511
256.8, 1427.93, 26.76255, 0.1300521, 454.3399, 1620.072, 1649.317, 50.159, 1151.601, 429.4862, 1082.2, 1615.505
256.9, 1349.498, 25.42924, 0.1224949, 427.2127, 1547.982, 1671.818, 47.58803, 1090.927, 408.0215, 1011.574, 1531.146
257, 1300.234, 24.16236, 0.1153768, 467.363, 1575.623, 1650.929, 45.14884, 1033.449, 387.6296, 945.5565, 1650.036
257.1, 1284.749, 22.9586, 0.1086724, 466.4202, 1646.248, 1680.919, 42.83467, 1031.838, 368.2568, 883.8477, 1563.874
257.2, 1375.411, 21.8148, 0.1023576, 438.5717, 1572.993, 1584.265, 40.63911, 977.4739, 349.8522, 826.1661, 1482.211
257.3, 1299.863, 79.28944, 0.09640968, 412.3859, 1502.999, 1591.614, 38.5561, 1037.695, 332.3674, 772.2489, 1404.812
257.4, 1332.436, 75.33926, 0.09080742, 394.1123, 1495.018, 1500.096, 36.57985, 1004.95, 315.7565, 721.8505, 1331.455
257.5, 1322.184, 71.58587, 0.08553069, 408.7537, 1451.643, 1450.045, 34.70489, 1031.665, 299.9757, 674.7411, 1394.192
257.6, 1276.041, 153.3285, 0.08056059, 433.3957, 1387.048, 1370.33, 32.92604, 1125.929, 284.9837, 630.7062, 1359.628
257.7, 1205.952, 145.6897, 0.07587931, 407.519, 1326.677, 1406.077, 31.23837, 1273.314, 270.7409, 589.5452, 1334.208
257.8, 1246.753, 224.3828, 0.07147004, 383.1873, 1285.516, 1392.786, 29.6372, 1267.402, 471.0299, 551.0703, 1380.532
257.9, 1219.596, 213.2041, 0.06731699, 360.3083, 1228.314, 1312.7, 28.1181, 1281.762, 447.489, 515.1064, 1308.443
258, 1152.607, 202.5823, 0.06340527, 385.0646, 1270.407, 1272.627, 26.67686, 1214.23, 425.1245, 481.4896, 1240.118
258.1, 1089.298, 192.4897, 0.05972086, 362.0735, 1279.805, 1383.612, 25.3095, 1177.767, 403.8778, 450.0667, 1295.948
258.2, 1029.466, 182.8999, 0.05625054, 340.4553, 1222.856, 1304.053, 24.01223, 1150.298, 383.693, 420.6945, 1228.276
