 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C019, C020, C024, C037, C040, C041, C051, C052, C062, C074, C084, C088, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
379, 3376.263, 837.0994, 3647.523, 1451.231, 180.3305, 89.72298, 495.9135, 170.2842, 407.5764, 938.5471, 188.129, 1570.068, 5.958023, 367.4108, 98.46489, 351.5696, 126.9867, 791.2516, 17.80083, 533.3053, 1936.588, 58.65009, 2787.023, 2843.034, 121.7353, 460.948, 647.5129, 86.95406, 2.239185, 20.316
379.1, 3151.065, 795.0941, 3742.84, 1382.721, 167.7645, 85.1629, 470.211, 161.6623, 387.4064, 893.5181, 413.6449, 1548.844, 96.28182, 347.513, 93.18652, 542.8027, 119.4901, 744.7582, 16.90581, 503.6789, 1887.638, 55.67974, 2701.418, 2711.09, 115.9129, 434.5403, 611.3271, 83.2398, 2.135917, 19.47187
379.2, 2940.888, 755.1965, 3734.22, 1317.445, 156.0741, 80.83457, 445.8407, 153.4769, 368.2346, 850.6496, 609.4116, 1510.254, 222.6088, 328.6928, 88.1911, 510.75, 112.4361, 700.9968, 16.05578, 475.6984, 1839.136, 52.85983, 2634.945, 2585.269, 110.3689, 409.6455, 577.1636, 79.6842, 2.037411, 18.66282
379.3, 2744.73, 717.3011, 3653.983, 1255.25, 173.3539, 134.5955, 433.0672, 145.7059, 350.0115, 866.679, 616.3175, 1436.742, 212.3944, 370.7485, 83.46347, 480.59, 105.7985, 659.8068, 15.24849, 449.2722, 1885.206, 50.18274, 2515.732, 2465.287, 105.0901, 386.1769, 544.9092, 76.28047, 1.943448, 17.88739
379.4, 2561.656, 681.3072, 3484.141, 1317.046, 224.3666, 160.596, 410.622, 138.3285, 332.6902, 936.9445, 725.7716, 1428.189, 202.6487, 350.67, 78.98927, 452.2109, 99.5528, 621.0371, 14.4818, 424.3141, 1859.628, 47.64122, 2605.692, 2350.874, 100.0638, 364.0529, 514.4573, 73.02214, 1.853818, 17.14417
379.5, 2523.506, 744.5507, 3448.881, 1254.87, 208.732, 189.4078, 519.6117, 131.3245, 316.2262, 950.8571, 687.5, 1469.312, 193.3501, 331.6788, 74.75492, 507.2616, 93.67579, 584.5455, 13.75365, 400.7424, 1941.101, 45.22842, 2625.92, 2241.77, 109.3565, 343.1963, 485.7072, 69.90298, 1.768322, 16.43184
379.6, 2355.187, 707.1895, 3490.666, 1203.451, 194.1869, 211.1915, 511.9567, 124.6752, 300.5769, 918.0059, 887.7625, 1397.794, 262.8695, 407.4716, 70.74756, 477.3076, 88.14571, 550.1981, 13.06212, 378.4802, 2153.946, 42.93782, 2590.224, 2137.73, 104.1261, 323.5346, 458.5638, 130.4096, 1.68677, 15.7491
379.7, 2198.095, 671.7029, 3328.415, 1213.177, 180.6554, 330.3452, 607.221, 118.3626, 285.7021, 1032.329, 840.9488, 1329.756, 250.8078, 579.9061, 66.95502, 449.1224, 82.94211, 517.8688, 12.40535, 357.4547, 2053.621, 40.76323, 2641.952, 2038.519, 99.14589, 304.9993, 432.9373, 248.1726, 1.608978, 15.09473
379.8, 2103.127, 637.9971, 3513.418, 1155.904, 168.0668, 313.5557, 575.7496, 112.3696, 271.5633, 982.8005, 796.6036, 1323.5, 239.2994, 548.5003, 63.36578, 445.0034, 78.04569, 598.1882, 11.78161, 337.5973, 1957.969, 38.69877, 2522.423, 2086.984, 94.40387, 287.5259, 408.7429, 237.5719, 1.534774, 14.46754
379.9, 1962.848, 605.9827, 3350.109, 1105.367, 156.3554, 297.6195, 545.9094, 106.68, 258.1243, 935.6484, 754.5969, 1259.079, 228.3192, 550.1206, 59.96896, 418.7257, 73.43833, 563.0392, 11.18923, 318.843, 1866.773, 36.73886, 2634.753, 2029.599, 89.88866, 271.0536, 385.9006, 227.424, 1.463992, 13.86642
380, 1831.925, 575.5747, 3373.944, 1053.184, 145.46, 282.4933, 605.8275, 101.2785, 245.3503, 890.7586, 714.8053, 1197.793, 217.8428, 520.3278, 56.75422, 570.5998, 69.10296, 565.0444, 10.62663, 301.1305, 1779.824, 34.87822, 2588.239, 2073.555, 85.5894, 255.5249, 364.3348, 217.7095, 1.396474, 13.29027
380.1, 1768.295, 546.6926, 3250.524, 1041.444, 174.9101, 268.1359, 691.5908, 96.15053, 233.2085, 848.0225, 677.112, 1139.491, 207.847, 695.6482, 53.71182, 536.9056, 65.02352, 632.6663, 10.09233, 284.4019, 1696.925, 33.1118, 2537.123, 2054.647, 81.49577, 240.8859, 343.9742, 243.2162, 1.332071, 12.73807
380.2, 1704.975, 519.2598, 3466.955, 1105.041, 162.7219, 254.5081, 655.7467, 91.28217, 221.6676, 937.7742, 641.4063, 1133.13, 198.31, 669.4041, 50.83251, 505.2011, 61.18491, 595.4913, 9.584883, 268.6028, 1617.887, 31.43485, 2508.829, 2060.96, 77.59794, 227.0856, 324.7515, 232.8271, 1.270637, 12.2088
380.3, 1591.253, 625.775, 3305.806, 1052.874, 151.3829, 261.9361, 621.7603, 86.66032, 210.6978, 1017.604, 607.5835, 1077.975, 189.2105, 766.8316, 48.10755, 475.3688, 57.57291, 560.5007, 9.102954, 253.6812, 1542.53, 29.84282, 2770.019, 1965.311, 73.88654, 214.0759, 306.603, 222.8819, 1.212037, 11.70153
380.4, 1538.075, 594.3739, 3152.147, 1003.169, 150.5179, 248.6235, 589.5354, 82.27248, 200.2708, 968.7825, 575.5443, 1025.505, 180.5286, 736.972, 45.52866, 447.298, 200.3125, 527.5662, 8.645257, 239.5886, 1470.683, 28.33143, 2726.755, 1939.551, 70.35264, 201.8115, 289.4687, 213.3615, 1.156139, 11.21533
380.5, 1435.485, 582.3113, 3139.924, 1060.26, 140.0294, 235.9874, 558.9807, 78.1068, 271.6408, 922.303, 545.1945, 975.5884, 172.245, 700.8318, 43.08802, 420.8849, 460.4563, 496.5668, 8.210572, 226.2789, 1402.183, 26.89658, 2932.616, 2070.825, 66.98776, 190.2497, 273.2919, 204.2477, 1.102819, 10.74934
380.6, 1386.666, 553.0911, 3235.026, 1040.052, 130.2717, 223.9936, 544.8209, 74.15205, 258.1979, 878.0534, 516.4451, 928.1017, 164.3416, 662.877, 40.77822, 396.0315, 459.505, 467.3889, 7.797744, 213.7086, 1336.874, 25.5344, 2816.374, 1974.719, 63.78382, 179.3503, 258.0192, 195.5232, 1.051959, 10.30271
380.7, 1294.175, 525.3372, 3084.657, 990.9524, 222.5025, 278.2332, 635.7236, 70.39753, 245.4203, 1043.837, 704.7646, 974.2443, 156.8007, 644.6559, 38.59224, 372.6456, 619.515, 439.9255, 7.405673, 201.8366, 1274.606, 24.2412, 2751.161, 2123.279, 60.73313, 169.0753, 243.5999, 221.7922, 1.003444, 9.874634
