 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
230.9, 136.4135, 1.033734, 1008.82, 230.609, 22.37157, 3.648358, 880.4755, 279.6228, 23.52472, 469.1049, 64.08466, 1557.846, 785.9521, 11.20195, 1447.885
231, 128.6723, 0.9825613, 952.5447, 219.2366, 21.03059, 3.483554, 834.7802, 261.8792, 22.0321, 443.0578, 59.74834, 1757.98, 744.7161, 10.71772, 1383.356
231.1, 121.3705, 0.9339215, 899.4087, 208.425, 19.76999, 3.326195, 791.4564, 245.2616, 20.63418, 418.4569, 55.70544, 1631.93, 705.6435, 10.25442, 1321.703
231.2, 114.483, 0.8876894, 849.2368, 198.1466, 18.58496, 3.175945, 750.381, 229.6984, 19.32496, 395.2221, 51.93611, 1713.057, 668.6209, 9.811152, 1262.798
231.3, 107.9863, 0.843746, 801.8636, 250.6006, 17.47095, 3.032481, 713.9575, 215.1228, 18.09881, 373.2773, 48.42183, 1590.228, 633.5408, 9.387043, 1342.001
231.4, 101.8584, 0.8019779, 757.1331, 238.2423, 16.42372, 2.895498, 754.4336, 201.4721, 16.95046, 352.5511, 45.14535, 1506.114, 600.3011, 8.981266, 1282.191
231.5, 96.07812, 0.7622775, 859.0701, 226.4935, 15.43926, 2.764703, 715.2797, 188.6876, 15.87497, 332.9756, 42.09057, 1398.123, 568.8055, 8.59303, 1225.047
231.6, 90.62591, 0.7245423, 905.5565, 215.324, 14.51381, 2.639816, 678.1577, 176.7143, 14.86772, 314.4871, 39.2425, 1364.301, 538.9623, 8.221577, 1170.45
231.7, 85.48309, 0.6886752, 855.0417, 204.7054, 13.64384, 2.520571, 642.9623, 165.5009, 13.92437, 297.0251, 36.58714, 1266.478, 510.6849, 7.86618, 1384.305
231.8, 80.63212, 0.6545836, 855.0913, 194.6104, 12.82601, 2.406712, 672.1277, 154.9989, 13.04088, 280.5328, 34.11145, 1270.886, 483.8911, 7.526146, 1373.952
