 , C000, C001, C002, C003, C004, C005, C008, C009, C012, C013, C015, C018, C020, C021, C022, C023, C027, C031, C032, C066, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.5, -1.192093e-07, 65.43468, 2.976079, 333.1329, 0.3128589, 345.297, 3.814697e-06, 97.94065, 34.27712, 310.5851, 421.19, 0.9272634, 327.1624, 29.79967, 265.4084, 48.56017, 1003.525, 368.3921, 62.12681, 1070.36, 924.4519
7.6, -1.192093e-07, 62.03893, 2.808009, 318.8727, 0.2926184, 327.0462, 3.814697e-06, 93.36073, 32.36926, 294.964, 397.7079, 0.8778758, 369.0721, 28.45895, 253.761, 46.38785, 959.4946, 350.0511, 59.2221, 1024.823, 947.1682
7.7, -1.192093e-07, 58.81939, 2.649431, 305.223, 0.2736874, 309.7601, 3.814697e-06, 88.99498, 30.56759, 280.1286, 375.535, 0.8311186, 353.9021, 27.17855, 242.6248, 44.31271, 1063.979, 425.7272, 56.4532, 1016.615, 964.9572
7.8, -1.192093e-07, 55.76693, 2.499809, 292.1575, 0.2559812, 293.3876, 3.814697e-06, 84.83338, 28.8662, 266.0393, 354.5982, 0.7868519, 477.1001, 25.95576, 231.9773, 42.3304, 1048.75, 448.0001, 53.81376, 973.3641, 920.762
7.9, -1.192093e-07, 52.87288, 2.358636, 279.6513, 0.2394204, 277.8805, 3.814697e-06, 80.86639, 27.25951, 370.383, 334.8288, 0.7449428, 457.4899, 24.78798, 221.797, 40.43677, 1002.735, 425.6958, 51.29772, 1026.773, 878.5909
8, -1.192093e-07, 50.12902, 2.225435, 339.9641, 0.2239311, 263.193, 2.861023e-06, 77.08491, 25.74224, 351.7543, 316.1614, 0.7052659, 479.8468, 23.67274, 212.0636, 38.62785, 958.7393, 404.5019, 48.89931, 983.0902, 918.5204
8.1, -1.192093e-07, 47.52755, 2.099757, 325.4115, 0.2094438, 249.2818, 2.861023e-06, 73.48025, 24.30943, 359.2103, 298.5349, 0.6677023, 460.1237, 22.60768, 202.7572, 36.89985, 1045.648, 384.3632, 46.61305, 1161.165, 876.452
8.199999999999999, -1.192093e-07, 45.06109, 1.981177, 311.4818, 0.1958938, 236.106, 2.861023e-06, 70.04415, 22.95637, 341.1436, 281.891, 0.6321393, 459.8475, 21.59053, 193.8593, 35.24915, 999.7692, 365.2271, 44.43368, 1111.765, 836.3104
8.300000000000001, -5.960464e-08, 42.72263, 1.869293, 298.1484, 0.1832204, 223.6265, 1.907349e-06, 66.76874, 21.67862, 323.9856, 266.1751, 0.5984705, 440.9464, 20.61915, 185.3519, 33.6723, 955.9035, 347.0437, 42.3562, 1280.907, 798.0072
8.4, -8.940697e-08, 40.50552, 1.763727, 285.3858, 0.171367, 211.8066, 1.907349e-06, 63.64648, 20.47199, 307.6905, 251.3353, 0.566595, 443.1182, 19.69147, 177.2178, 32.16599, 962.9792, 329.7656, 40.37585, 1226.413, 761.4583
8.5, -8.940697e-08, 38.40346, 1.664123, 273.1695, 0.1602803, 200.6115, 1.907349e-06, 60.67023, 19.33252, 292.215, 237.3229, 0.5364171, 424.9047, 18.80553, 169.4406, 30.72705, 961.2274, 313.3478, 38.4881, 1174.236, 853.176
8.6, -1.192093e-07, 36.4105, 1.570144, 261.4761, 0.149911, 190.0081, 1.430511e-06, 57.83316, 18.25647, 277.5179, 224.0918, 0.5078467, 407.4398, 17.95944, 162.0048, 29.35249, 919.0527, 400.478, 36.68861, 1143.527, 814.1004
8.699999999999999, -8.940697e-08, 34.52096, 1.481473, 250.2832, 0.1402125, 179.9652, 1.430511e-06, 55.12876, 17.24032, 263.5599, 211.5982, 0.4807979, 390.6928, 17.15143, 154.8953, 28.03942, 904.2113, 380.5396, 34.97325, 1160.735, 776.8145
8.800000000000001, -1.192093e-07, 32.72948, 1.397809, 311.6528, 0.1311414, 170.453, 1.430511e-06, 52.55082, 16.28072, 250.304, 199.8012, 0.4551898, 374.6342, 16.37977, 148.0978, 26.78509, 864.5383, 361.5939, 33.33809, 1173.312, 741.2363
8.9, -8.940697e-08, 31.03097, 1.31887, 362.5858, 0.1226572, 161.4437, 1.430511e-06, 50.09343, 15.37454, 237.7148, 188.662, 0.4309456, 359.2356, 15.64282, 141.5985, 25.58687, 826.606, 343.5914, 31.77938, 1123.395, 707.2875
9, -8.940697e-08, 55.33523, 1.244389, 357.824, 0.1147218, 152.9105, 1.430511e-06, 47.75095, 14.51879, 365.8491, 235.2191, 0.4079927, 344.47, 14.93903, 135.3845, 24.44226, 1043.945, 326.4852, 30.29355, 1367.618, 674.8937
9.1, -5.960464e-08, 52.46358, 1.174114, 476.7517, 0.1072999, 144.8284, 182.453, 128.1479, 13.71068, 347.4485, 319.9245, 0.3862623, 365.977, 14.26691, 129.4432, 23.34884, 998.1406, 357.5657, 28.87719, 1309.434, 769.8011
9.199999999999999, -5.960464e-08, 49.74096, 1.107807, 456.3438, 0.1003581, 138.7246, 270.4896, 122.1555, 12.94754, 329.9733, 302.0881, 0.3656893, 350.9343, 13.62502, 123.7627, 22.30434, 954.3464, 339.7638, 27.52705, 1253.726, 816.1236
9.300000000000001, -5.960464e-08, 68.9286, 1.045246, 436.8094, 0.09386542, 176.1214, 257.889, 116.4432, 12.22688, 400.7076, 310.9289, 0.3462121, 336.5099, 13.01202, 118.3314, 21.30657, 1075.457, 322.8481, 26.24004, 1200.387, 834.1886
9.4, -5.960464e-08, 65.35152, 0.9862169, 502.1198, 0.08779278, 166.8124, 319.0135, 227.9681, 11.54633, 400.7231, 293.594, 0.3277723, 354.28, 121.8605, 113.1385, 20.35343, 1229.893, 306.7747, 25.0132, 1310.819, 810.2617
9.5, -2.980232e-08, 61.96008, 7.026629, 511.6529, 0.08211301, 157.9955, 393.846, 217.3078, 10.90366, 498.8095, 277.2256, 0.3103146, 339.718, 116.3779, 108.1734, 19.44293, 1383.272, 291.5015, 23.84372, 1301.454, 858.1865
9.6, -5.960464e-08, 89.88863, 6.629811, 600.7233, 0.0768007, 207.1346, 375.499, 207.146, 10.29677, 473.7216, 384.3083, 0.2937867, 325.7546, 111.1419, 103.4263, 18.57316, 1425.01, 276.9886, 22.72891, 1274.704, 818.8814
9.699999999999999, -5.960464e-08, 85.22382, 7.401797, 575.0085, 0.07183206, 203.4622, 358.0066, 197.4594, 9.723649, 449.8954, 362.8824, 0.2781391, 312.3651, 106.1415, 98.88745, 17.74229, 1362.486, 263.1983, 21.66623, 1259.17, 781.3765
9.800000000000001, -7.450581e-08, 80.80109, 6.983791, 550.3946, 0.06718487, 192.7081, 341.3291, 188.2258, 9.182432, 427.2677, 342.6511, 0.2633249, 299.526, 101.3661, 94.54781, 16.9486, 1302.706, 250.0946, 20.65324, 1290.206, 745.5894
9.9, -5.960464e-08, 76.60788, 6.589392, 526.8342, 0.06283834, 182.5225, 325.4286, 179.424, 8.671338, 405.778, 323.5476, 0.2492998, 287.2146, 96.80548, 90.39861, 16.19042, 1245.549, 352.4077, 19.6876, 1235.315, 711.4413
10, -5.960464e-08, 72.63228, 6.217267, 504.2824, 0.058773, 172.8752, 310.2687, 171.0337, 8.188692, 385.3691, 305.5093, 0.2360217, 275.4092, 92.4501, 86.4315, 15.46614, 1269.672, 374.0705, 18.76712, 1230.555, 828.5881
