 , C000, C002, C003, C004, C005, C010, C015, C017, C018, C019, C021, C022, C024, C027, C030, C060, C075
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
269.5, 265.7155, 90.26173, 540.0576, 304.4442, 105.6287, 2.584072, 249.848, 684.9443, 3027.631, 906.625, 437.0131, 1262.393, 176.839, 610.7517, 975.1238, 499.42, 467.2061
269.6, 248.7085, 86.0596, 589.4597, 288.5766, 99.09946, 2.439243, 236.2113, 647.7136, 2965.757, 863.4754, 421.312, 1226.743, 335.8649, 577.1229, 923.5543, 588.8161, 790.2996
269.7, 286.0573, 82.0531, 547.1976, 286.3361, 92.97382, 2.302531, 223.3188, 612.5067, 2977.984, 822.3795, 472.8805, 1272.857, 313.6414, 545.3456, 898.9899, 556.1963, 749.7949
269.8, 339.741, 78.23312, 507.9655, 352.2221, 87.22682, 2.173481, 211.1301, 579.2134, 2973.444, 838.0158, 530.6715, 1231.063, 292.8884, 562.8577, 851.4467, 525.3836, 711.3661
269.9, 317.996, 74.59097, 493.6575, 416.4719, 81.83507, 2.051664, 199.6065, 547.7298, 3008.089, 895.2059, 528.038, 1366.799, 338.6714, 531.866, 928.8265, 666.8907, 674.907
270, 372.0571, 71.11839, 458.264, 402.2304, 76.77659, 1.936674, 188.712, 977.7283, 3033.437, 1202.959, 497.7416, 1332.704, 546.11, 502.5807, 995.3076, 784.2313, 640.3164
270.1, 348.2438, 67.80748, 514.61, 381.2663, 95.0898, 1.82813, 178.412, 1164.015, 3139.706, 1360.122, 696.6701, 1269.208, 547.2355, 490.4568, 1431.944, 868.0104, 607.4987
270.2, 325.9546, 64.6507, 477.7143, 363.1143, 89.21201, 1.725669, 168.6743, 1126.375, 3003.315, 1539.329, 656.6985, 1208.738, 561.8615, 517.0969, 1356.215, 1010.505, 576.3629
270.3, 305.092, 61.64089, 660.9965, 344.1889, 83.69754, 1.62895, 159.468, 1185.379, 2942.774, 1466.067, 619.0203, 1191.878, 524.6843, 488.6248, 1284.492, 954.5242, 546.8229
270.4, 579.8973, 173.2514, 613.6053, 515.7082, 97.42684, 1.537652, 150.7642, 1170.356, 3024.8, 1471.37, 583.5038, 1280.559, 719.763, 461.7205, 1601.374, 1125.15, 518.797
270.5, 690.6515, 209.2926, 584.4479, 488.8297, 91.40459, 1.451472, 142.5355, 1474.052, 3013.397, 1401.342, 550.0251, 1219.548, 672.1378, 436.2975, 1516.685, 1205.109, 492.2074
270.6, 646.4466, 230.3087, 542.545, 463.3521, 85.7546, 1.370121, 134.7559, 1507.142, 3024.471, 1499.665, 518.4673, 1278.592, 746.9566, 412.2744, 1565.383, 1196.492, 466.9806
270.7, 790.3365, 219.5867, 582.9532, 533.9424, 80.45385, 1.29333, 127.4009, 1718.435, 3166.425, 1766.306, 748.1121, 1261.208, 865.6044, 529.2385, 1895.014, 1310.005, 443.0468
270.8, 1149.793, 384.9221, 541.1576, 571.1872, 75.48075, 1.220843, 120.4473, 1814.757, 3063.167, 1897.554, 721.0253, 1237.583, 808.3292, 500.0979, 2157.956, 1278.572, 420.3396
270.9, 1244.329, 367.0021, 502.3585, 627.814, 70.81506, 1.152418, 113.8733, 2106.875, 2939.024, 2066.131, 729.4491, 1248.665, 754.8438, 472.5618, 2043.832, 1673.927, 398.7962
271, 1164.687, 349.9163, 466.3412, 595.0925, 66.43776, 1.087829, 107.6581, 2244.486, 3035.795, 1967.796, 687.5967, 1233.034, 704.8973, 446.5419, 2123.884, 1581.193, 378.3569
271.1, 1267.199, 333.6259, 432.9062, 564.0765, 62.33104, 1.026859, 101.7821, 2122.485, 3137.636, 1874.141, 648.1457, 1207.671, 658.2558, 464.1688, 2011.562, 1563.274, 358.9652
271.2, 1204.835, 318.094, 401.8683, 534.6771, 58.47817, 0.9693068, 96.22681, 2051.306, 3038.1, 1784.944, 610.9582, 1150.132, 614.7004, 438.611, 1978.697, 1575.177, 340.5674
271.3, 1354.942, 303.2851, 373.0558, 506.8099, 54.86345, 0.9149801, 90.97474, 2012.646, 2991.52, 1853.217, 674.7242, 1095.335, 574.027, 414.4604, 2070.007, 1487.913, 323.1125
271.4, 1410.103, 289.1657, 346.309, 617.501, 51.47218, 0.8636982, 86.00932, 2262.482, 3074.136, 1911.185, 636.0117, 1157.368, 536.0448, 391.6397, 2264.235, 1483.308, 306.5522
271.5, 1520.768, 275.7036, 321.4799, 587.5168, 48.29052, 0.8152906, 81.31492, 2501.641, 3039.511, 1909.008, 690.1793, 1122.784, 500.5758, 414.4843, 2385.092, 1401.135, 290.8407
271.6, 1506.195, 262.8682, 412.9449, 556.8956, 45.30554, 0.769596, 76.87674, 2420.659, 2952.883, 1818.151, 779.0495, 1069.29, 467.4538, 391.6622, 2482.277, 1631.12, 275.9344
271.7, 1501.917, 250.6304, 383.3382, 567.8942, 42.50507, 0.7264625, 72.68079, 2513.293, 2913.567, 1731.619, 1138.337, 1078.129, 436.5234, 473.9458, 2351.002, 1562.413, 261.7921
271.8, 1405.788, 238.9623, 486.447, 624.1629, 39.8777, 0.6857465, 68.71387, 2376.682, 2953.119, 1649.205, 1147.711, 1026.762, 407.6396, 447.8497, 2463.807, 1475.857, 248.3747
