 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
379.7, 0.5410758, 233.552, 4.657692, 59.34792, 449.5237, 901.8196, 272.4604, 0.04344247, 99.77287, 1235.276, 42.16152, 623.0492, 1146.523, 897.4876, 578.5364, 625.8167, 592.1107, 430.6089, 1042.698, 282.9532, 710.8118, 1626.795, 867.2748, 1531.838, 1421.619, 1048.97, 452.3044, 931.5645, 1337.167, 676.6648
379.8, 0.5055702, 219.4124, 4.357237, 60.54515, 427.7036, 855.3242, 256.2699, 0.04121602, 94.44682, 1247.165, 40.09245, 585.6207, 1097.748, 847.5326, 550.8626, 594.2145, 552.2714, 402.7523, 1047.548, 492.8625, 675.46, 1573.135, 812.8326, 1428.145, 1394.09, 1040.056, 430.7295, 878.6083, 1270.215, 820.2984
379.9, 0.4723945, 206.1288, 4.076164, 107.0066, 406.9427, 811.226, 241.0414, 0.03910368, 89.40509, 1176.494, 38.12492, 550.4406, 1115.874, 800.3581, 524.5125, 564.2081, 542.0248, 376.6977, 1134.103, 545.3757, 665.7343, 1559.06, 761.8079, 1331.472, 1397.738, 1032.143, 410.1837, 828.6626, 1206.615, 972.6627
380, 0.4413958, 193.6494, 11.80588, 100.8483, 387.1896, 769.4014, 226.7179, 0.03709959, 84.63249, 1109.828, 36.25394, 572.5378, 1068.403, 755.8094, 559.9124, 864.9261, 512.7594, 352.3286, 1167.293, 511.2868, 632.6244, 1558.509, 812.4346, 1241.343, 1470.622, 982.9957, 390.618, 781.5561, 1146.2, 915.0846
380.1, 0.4124312, 181.9255, 11.04432, 95.04436, 368.3953, 729.7331, 213.2455, 0.03519821, 80.11466, 1133.932, 34.47479, 666.6011, 1126.434, 713.7403, 612.059, 942.2669, 533.9487, 329.536, 1197.808, 479.3287, 604.7441, 1591.811, 761.4349, 1157.314, 1365.315, 1038.995, 371.9856, 903.8901, 1088.81, 860.9149
380.2, 0.3853673, 170.9114, 10.33188, 151.4844, 350.5132, 761.5263, 200.5737, 0.03339428, 75.83801, 1220.804, 32.78294, 626.5563, 1102.845, 674.0128, 582.7816, 969.462, 552.8729, 308.2179, 1142.075, 825.4455, 594.3659, 1516.383, 916.4019, 1078.974, 1335.281, 1004.816, 354.2419, 852.5072, 1034.293, 809.9518
380.3, 0.3600794, 160.5641, 9.665398, 142.7663, 333.4992, 722.264, 188.6549, 15.76906, 71.78964, 1151.627, 31.17413, 940.4805, 1055.928, 636.4966, 554.9047, 943.1772, 548.7091, 288.2789, 1088.934, 773.8507, 621.7934, 1524.526, 1124.151, 1005.936, 1259.305, 1097.643, 337.3446, 953.7179, 982.5059, 762.0056
380.4, 0.3364508, 150.8433, 97.9818, 134.55, 317.311, 685.0261, 177.4443, 58.43326, 67.95739, 1086.37, 29.64426, 883.9828, 1143.058, 757.0521, 561.5728, 1011.681, 684.8967, 269.6297, 1038.266, 902.6537, 660.5167, 1578.376, 1053.583, 937.843, 1245.537, 1130.485, 321.2533, 899.5024, 1144.121, 716.8976
380.5, 0.3143728, 141.711, 91.66126, 126.8065, 301.9086, 649.7079, 166.8999, 55.43852, 64.3297, 1024.811, 28.18947, 966.3624, 1094.43, 714.9138, 534.7104, 960.5939, 819.3616, 252.187, 1100.687, 913.5673, 775.5327, 1555.099, 987.4458, 874.3589, 1156.348, 1076.655, 305.9295, 910.5918, 1086.835, 674.4598
380.6, 0.2937436, 133.1315, 168.9815, 119.5087, 353.4668, 616.2108, 156.9822, 76.80544, 60.89567, 966.7405, 26.80608, 908.3099, 1108.352, 675.121, 649.8559, 925.4462, 764.2321, 235.8727, 1183.244, 856.4644, 736.962, 1603.082, 925.46, 815.1722, 1172.813, 1135.957, 291.3367, 1121.366, 1100.881, 720.2313
