 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
320.8, 122.1204, 18.544, 36.84319, 292.1602, 186.2277, 19.75944, 7.242671, 1029.766, 188.5756, 467.9214, 175.5833, 258.1756, 246.9693, 408.8509, 110.8634, 32.50686, 236.1511, 158.845, 286.5964, 764.1649, 331.8081, 1024.721, 321.2062
320.9, 116.5592, 17.72629, 74.64211, 270.799, 176.9304, 75.29651, 6.756793, 1099.087, 179.0104, 502.0486, 166.5374, 239.6423, 236.1175, 422.2827, 105.5531, 30.48701, 216.7512, 151.3999, 270.0714, 790.0797, 314.7818, 975.8552, 366.3931
321, 111.2512, 16.94464, 69.46849, 316.9426, 234.0247, 70.01376, 6.303511, 1028.071, 169.9303, 479.4577, 157.9575, 348.2213, 225.7426, 401.0191, 100.4973, 28.59266, 198.9451, 144.3037, 254.4992, 751.1459, 298.6292, 1002.419, 373.7208
321.1, 106.1849, 16.19745, 64.65347, 293.7695, 228.5706, 65.10164, 5.880637, 1128.086, 168.7307, 457.8834, 149.8196, 323.224, 243.2037, 378.9139, 95.68355, 26.81603, 182.6017, 137.5401, 239.8249, 714.1307, 283.3055, 954.6168, 355.1664
321.2, 113.926, 15.48321, 60.17218, 272.2906, 217.1594, 70.80407, 5.486132, 1086.722, 160.1721, 437.2799, 142.101, 300.0212, 347.9851, 405.7035, 91.10041, 25.14978, 167.6009, 131.0936, 225.9967, 678.9396, 268.768, 909.094, 367.0694
321.3, 109.3303, 14.80047, 56.0015, 252.3822, 206.3178, 65.8365, 5.118092, 1016.505, 192.7329, 417.6035, 134.78, 278.484, 366.2606, 383.3401, 86.73679, 23.58707, 392.2223, 124.9492, 243.1689, 671.9813, 254.9765, 1070.683, 362.8353
321.4, 104.3515, 14.14783, 52.1199, 233.9294, 196.0175, 61.21746, 4.774743, 950.8246, 182.9568, 398.8124, 127.8362, 270.4268, 350.1673, 362.2095, 82.58219, 22.12147, 360.0011, 119.0928, 343.5527, 638.8672, 241.8927, 1019.625, 555.6891
321.5, 99.59947, 13.52397, 48.50735, 216.8258, 186.2315, 82.40625, 4.454427, 889.3882, 179.4786, 429.8205, 121.2502, 267.1375, 334.7811, 342.2436, 78.62659, 20.74692, 330.4269, 113.5109, 361.1627, 607.385, 229.4803, 971.0025, 528.1005
321.6, 95.06381, 12.92762, 45.14519, 200.9727, 192.7429, 76.62469, 4.1556, 831.9214, 177.4647, 410.4797, 115.0034, 259.9982, 320.0709, 323.3783, 74.86047, 19.45779, 303.2823, 108.1906, 865.5593, 577.4542, 217.7048, 924.6984, 559.2271
321.7, 90.7347, 12.35756, 42.01607, 240.3391, 195.876, 71.24875, 3.876819, 778.1677, 232.4579, 499.596, 109.0785, 241.334, 306.0071, 305.5529, 71.27473, 18.24876, 278.3676, 103.1196, 1135.536, 633.2716, 206.5336, 880.6024, 679.3804
