 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
95.3, 1.875018, 304.6007, 540.3586, 484.0774, 133.8322, 475.3313, 310.4255, 6.162681, 113.3631, 494.8609, 17.57409, 2.977047, 800.0414, 82.17384, 151.0023, 1.548553, 853.0751, 659.502, 1682.221, 2.408087, 1790.019, 401.7515, 2027.167, 107.9689, 2653.099, 1093.052
95.40000000000001, 1.793311, 289.5826, 511.4685, 462.2723, 127.6504, 450.9249, 293.8957, 5.839368, 107.0455, 470.5566, 16.72802, 2.844134, 759.738, 77.96641, 143.6106, 1.464364, 811.4274, 620.1222, 1636.436, 2.295339, 1668.587, 379.5613, 2218.59, 102.5906, 2540.676, 1180.558
95.5, 1.715166, 275.305, 507.5333, 441.4495, 121.7542, 427.7716, 278.246, 5.533018, 101.0799, 488.1909, 15.92268, 2.717155, 721.465, 73.9744, 136.5807, 1.384751, 771.8129, 583.0939, 1584.944, 2.18787, 1667.826, 566.627, 2393.102, 97.48019, 2656.342, 1128.485
95.59999999999999, 1.640426, 261.7313, 480.3983, 421.5646, 116.1303, 474.053, 263.4297, 5.24274, 95.44678, 464.2141, 15.15612, 2.595846, 685.1201, 70.18679, 129.8949, 1.309467, 734.1324, 579.9076, 1660.232, 2.085432, 1724.626, 535.3301, 2413.691, 92.62436, 2666.946, 1078.709
95.7, 1.568942, 248.8269, 454.714, 402.5754, 110.7662, 449.7122, 249.4024, 4.96769, 90.12759, 469.5384, 14.42646, 2.479952, 704.5096, 66.59311, 123.5364, 1.238276, 698.2915, 653.8348, 1581.494, 1.987791, 1701.276, 505.762, 2436.795, 88.01041, 2589.997, 1168.148
95.8, 1.500574, 236.5587, 430.4029, 384.4416, 105.6498, 426.6212, 256.0709, 4.70707, 85.10484, 487.0543, 13.73192, 2.369232, 669.0188, 63.18343, 117.4891, 1.170955, 664.2004, 625.8913, 1631.626, 1.894721, 1585.864, 547.2635, 2455.523, 83.6263, 2698.837, 1116.623
95.90000000000001, 1.435185, 321.05, 407.3915, 396.9781, 100.7698, 404.7159, 310.1133, 4.460124, 80.36199, 463.1333, 13.07083, 2.263456, 635.3159, 59.94834, 137.6552, 1.107294, 631.7736, 588.5185, 1607.396, 1.806009, 1478.282, 637.7731, 2692.271, 79.46057, 2584.476, 1096.457
96, 1.372645, 305.2209, 465.9318, 379.0964, 96.11517, 459.6853, 293.6001, 4.226132, 75.88347, 528.3531, 12.44156, 2.162402, 603.3109, 56.87888, 230.2841, 1.047095, 600.93, 598.726, 1601.595, 1.721451, 1377.998, 602.5466, 2657.531, 75.50236, 2672.562, 1128.659
96.09999999999999, 1.31283, 290.1723, 457.104, 362.0202, 91.67556, 436.0822, 385.8838, 21.4122, 71.65453, 502.4039, 11.84258, 2.065859, 614.2599, 53.96659, 219.0114, 0.9901678, 571.5922, 562.9752, 1525.638, 1.640851, 1382.531, 569.2659, 2541.933, 71.74132, 2656.848, 1078.876
96.2, 1.255622, 275.8656, 432.6652, 508.7047, 87.44102, 413.6911, 389.3228, 20.28885, 67.66126, 477.7291, 11.27244, 1.973627, 595.9139, 51.20341, 208.2905, 0.9363358, 543.6866, 529.3592, 1453.283, 1.564025, 1293.219, 537.8233, 2431.363, 68.16763, 2865.77, 1031.288
