 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
10.1, 0, 421.2961, 2432.612, 81.9338, 181.5684, 1035.725, 1013.8, 0, 268.4465, 1180.304, 1310.682, 1052.992, 569.7354, 568.7747, 1881.546, 683.7758
10.2, 0, 502.18, 2446.373, 76.83364, 230.1564, 986.0025, 1014.409, 0, 250.9036, 1109.606, 1462.534, 1157.408, 538.9062, 609.0323, 2019.656, 649.1061
10.3, 0, 488.1783, 2329.162, 72.05096, 257.0574, 938.6667, 952.9413, 0, 234.5071, 1043.142, 1408.106, 1182.691, 509.7454, 578.0626, 2101.279, 616.1943
10.4, 0, 461.6526, 2442.311, 67.56598, 240.6865, 893.6034, 895.1983, 0, 219.1821, 1038.85, 1396.517, 1108.45, 482.1624, 628.7979, 2109.106, 584.9512
10.5, 0, 581.8005, 2325.295, 63.36018, 225.3582, 865.2245, 840.9542, 0, 204.8586, 976.6245, 1332.261, 1038.869, 456.0719, 649.3167, 1990.288, 555.2922
10.6, 0, 565.8435, 2213.885, 96.95466, 252.2341, 854.5662, 789.9969, 0, 191.4711, 918.126, 1308.467, 973.6558, 431.3933, 616.2985, 1955.711, 527.1371
10.7, 0, 535.0979, 2297.16, 90.91949, 236.1703, 813.5403, 910.6757, 0, 178.9585, 863.1315, 1248.262, 912.5363, 408.05, 584.9594, 1845.535, 670.0759
10.8, 0, 568.3774, 2187.098, 85.26, 221.1296, 818.992, 855.4937, 0, 167.2636, 897.1019, 1308.843, 855.2534, 608.3038, 555.2137, 1909.291, 636.1009
10.9, 0, 537.4941, 2161.181, 79.9528, 280.991, 870.1862, 837.2007, 0, 156.333, 843.3668, 1248.621, 801.5664, 703.3515, 526.9808, 1801.73, 603.8484
11, 0, 508.2889, 2057.634, 138.2397, 266.7375, 828.4105, 786.4709, 0, 146.1166, 884.0851, 1323.872, 831.1574, 665.2922, 500.1835, 1700.228, 573.2314
11.1, 0, 480.6706, 1969.403, 129.6346, 369.0913, 823.867, 738.8151, 0, 136.5679, 831.1296, 1262.958, 877.1015, 629.2924, 474.7489, 1604.445, 544.1667
11.2, 0, 489.1233, 2044.472, 170.8046, 359.9351, 784.315, 694.0469, 0, 127.6433, 781.3461, 1204.848, 822.0431, 595.2405, 485.5192, 1636.902, 516.5756
11.3, 0, 470.0004, 2305.357, 219.4243, 420.0287, 746.6618, 651.9914, 0, 119.3018, 734.5446, 1149.411, 873.5569, 563.0313, 460.8303, 2027.471, 490.3836
11.4, 0, 554.629, 2194.902, 205.7657, 403.9761, 710.8162, 612.4843, 0, 111.5054, 690.5463, 1096.525, 818.7209, 532.5649, 437.3967, 2133.425, 465.5195
11.5, 0, 524.4927, 2089.74, 192.9573, 415.5331, 676.6915, 602.0857, 0, 104.2186, 649.1835, 1069.705, 991.2069, 652.2197, 415.1548, 2268.62, 441.9161
11.6, 0, 495.9939, 1989.616, 180.9463, 389.0695, 867.1562, 565.6026, 0, 97.40792, 1010.241, 1426.084, 928.9857, 616.9272, 394.0439, 2140.815, 515.9968
11.7, 0, 469.0436, 1894.289, 169.6829, 397.2826, 825.526, 531.3301, 0, 91.04233, 949.7286, 1393.22, 870.6702, 634.7548, 445.6902, 2188.292, 489.8341
11.8, 0, 443.5577, 1805.611, 159.1206, 383.4095, 785.8943, 499.1344, 0, 85.09273, 942.3959, 1400.53, 816.0154, 636.0058, 423.0266, 2065.013, 614.5909
11.9, 0, 449.6995, 1719.101, 149.2157, 358.9918, 766.5424, 535.3677, 0, 79.53194, 885.9477, 1422.352, 816.1968, 601.5907, 401.5154, 1948.679, 583.4291
12, 0, 425.2646, 1636.735, 139.9275, 336.1291, 729.7424, 502.9273, 0, 74.33454, 832.8807, 1356.907, 764.9615, 569.0378, 462.7327, 1838.899, 553.8474
