 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C010, C011, C012, C015, C016, C017, C018, C019, C021, C023, C024, C025, C032, C033, C034, C038, C039, C040, C042, C045, C047, C049, C056, C068, C083, C086
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
87.7, 62.57959, 58.21836, 18.98746, 243.2337, 321.4504, 6.776032, 148.5853, 18.8546, 130.7434, 643.9413, 44.80046, 151.8091, 241.0649, 190.6655, 248.5956, 198.998, 81.67609, 373.9214, 2.147933, 220.1403, 319.053, 246.4098, 342.6535, 137.8352, 103.7682, 118.4292, 330.6715, 83.28366, 373.4791, 1299.578, 821.7334, 669.2719, 841.0229, 107.6854, 633.2009
87.8, 58.00937, 54.20673, 18.0178, 228.1938, 303.533, 110.6147, 141.0221, 17.78148, 124.587, 1011.941, 42.2106, 144.0479, 226.9041, 178.7704, 235.6896, 189.3472, 77.04503, 490.3021, 2.022542, 222.5477, 299.4911, 229.3763, 324.1946, 129.7793, 136.4603, 301.2994, 536.0553, 203.8187, 352.4965, 1798.644, 775.9161, 761.4473, 800.25, 101.8973, 591.4008
87.90000000000001, 53.77292, 50.47153, 178.7773, 214.0839, 286.6143, 143.2076, 133.8439, 16.76943, 118.7204, 1026.162, 226.7865, 275.6904, 213.5751, 205.4174, 223.4536, 180.1644, 72.67655, 477.6576, 56.45982, 449.3745, 281.1287, 259.534, 417.1536, 122.1943, 255.6852, 281.509, 933.8978, 250.8857, 332.6927, 1882.679, 732.6535, 727.3036, 879.3125, 96.42043, 713.583
88, 49.84586, 46.99372, 227.085, 200.8464, 311.7452, 136.4952, 127.0311, 15.81498, 113.13, 950.5811, 287.9075, 261.5959, 201.0291, 192.6019, 211.8528, 171.4269, 68.55577, 444.7565, 53.16383, 427.3506, 304.0229, 264.0703, 481.7816, 115.0525, 241.8132, 263.0185, 1080.968, 237.6587, 314.0016, 1815.856, 691.803, 732.7814, 852.4907, 91.23788, 709.9485
88.09999999999999, 46.20559, 43.75554, 247.4359, 188.4275, 294.3687, 189.5424, 120.5651, 14.91486, 107.8029, 880.5667, 271.264, 248.2219, 189.22, 180.586, 200.8543, 163.1132, 64.66864, 481.5825, 85.15977, 406.406, 285.3826, 271.5775, 455.8279, 108.3282, 312.7014, 245.7425, 1278.649, 225.129, 296.3605, 1692.755, 653.2303, 743.3497, 884.2592, 86.33391, 663.082
88.2, 42.83117, 40.7405, 277.0915, 176.7764, 277.9608, 180.6582, 114.4282, 14.06597, 102.7267, 916.2982, 255.5826, 235.5317, 178.1047, 169.3197, 190.4268, 155.2027, 61.00191, 448.4111, 129.5813, 386.4879, 267.8852, 283.7165, 431.2723, 101.9969, 329.6203, 246.8901, 1317.776, 213.2599, 279.7105, 1609.386, 764.446, 710.0175, 938.8197, 81.69351, 619.3094
88.3, 39.70319, 37.93321, 262.9408, 165.8458, 262.4675, 203.6877, 216.0528, 13.26539, 97.88947, 856.6312, 240.8077, 223.4902, 167.6423, 158.7563, 180.5406, 147.6758, 57.54309, 417.5245, 142.252, 473.0416, 251.4605, 264.1041, 445.6317, 161.0892, 464.4018, 230.6734, 1284.478, 202.0165, 263.996, 1626.418, 763.7251, 678.18, 893.3056, 284.5956, 759.9485
88.40000000000001, 36.80365, 35.31937, 466.9606, 155.5911, 247.8378, 194.1405, 205.0555, 12.51038, 93.28002, 793.5367, 226.8869, 212.0644, 157.7945, 148.8519, 171.1677, 140.514, 54.28038, 388.7654, 133.9477, 449.8577, 236.0429, 245.8474, 433.8374, 176.7966, 607.4678, 215.522, 1217.299, 191.366, 249.1643, 1516.159, 899.7219, 680.1193, 1008.02, 344.6521, 709.7813
88.5, 34.11586, 32.88563, 443.1136, 145.9704, 234.0235, 185.0408, 194.6179, 11.79834, 120.7718, 735.0893, 213.7709, 369.601, 148.5252, 139.5654, 162.2814, 133.6995, 51.20266, 361.9873, 126.1281, 427.81, 221.5706, 228.8527, 494.3503, 166.4635, 773.1288, 201.3658, 1384.118, 222.5913, 235.1659, 1413.374, 988.6043, 821.7062, 1185.574, 326.1273, 822.8297
88.59999999999999, 32.71515, 30.6196, 420.4845, 136.9446, 220.9792, 176.3677, 184.7116, 13.04904, 115.0849, 680.9468, 201.4131, 350.7053, 139.8004, 130.8583, 153.8564, 127.2154, 48.29946, 337.0536, 118.7651, 406.8429, 207.9857, 213.0328, 467.7195, 156.7345, 731.1835, 188.1393, 1342.984, 210.856, 221.9539, 1317.558, 933.4828, 784.8605, 1128.098, 366.7696, 768.5114
