 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
198.5, 8.873625, 1.709242, 159.1026, 449.3977, 929.0427, 215.2892, 597.9526, 334.0887, 568.4454, 661.0771, 549.2289, 701.4487, 1147.377, 647.4792, 1795.676, 990.3941, 435.8441
198.6, 8.18236, 1.615613, 146.8887, 428.5463, 864.9267, 204.2171, 568.5191, 312.7753, 537.2433, 618.6702, 756.0706, 656.5037, 1250.251, 831.4407, 1712.422, 1051.798, 410.3621
198.7, 7.544945, 1.527113, 135.6125, 408.6623, 805.2355, 193.7145, 540.5344, 292.8217, 507.754, 578.9836, 701.7765, 614.4384, 1170.528, 917.2778, 1633.029, 997.5918, 386.3698
198.8, 6.957185, 1.443462, 125.2019, 389.701, 821.1096, 183.7519, 513.9272, 274.141, 479.8833, 541.8428, 651.3813, 575.0685, 1095.89, 1255.047, 1557.316, 947.603, 363.7803
198.9, 6.415213, 1.364392, 115.5905, 416.2533, 800.758, 174.3017, 488.6298, 256.652, 453.5424, 507.0846, 604.6051, 538.2212, 1100.462, 1220.901, 1485.114, 898.7664, 342.5115
199, 5.915461, 1.289654, 151.8387, 396.9397, 768.7779, 165.3376, 464.5775, 350.3194, 428.6474, 474.556, 561.1879, 503.7349, 1050.229, 1146.735, 1605.123, 852.4466, 322.4862
199.1, 5.454639, 1.219009, 140.1825, 378.5223, 715.7223, 156.8344, 441.7092, 327.9706, 405.1188, 539.2136, 520.8885, 471.4582, 983.2606, 1077.074, 1530.704, 808.514, 303.6317
199.2, 5.029717, 1.152235, 129.4211, 360.9594, 666.3282, 148.7686, 506.559, 307.0475, 409.4308, 571.6628, 483.4831, 441.2497, 920.563, 1011.646, 1459.736, 784.0829, 285.8796
199.3, 4.637897, 1.089118, 119.4858, 344.2114, 620.3429, 141.1176, 481.6242, 331.2206, 386.957, 764.2405, 496.8723, 412.9768, 861.8632, 1197.359, 1459.39, 743.6736, 269.1654
199.4, 4.276599, 19.49424, 110.3132, 328.2404, 660.6194, 133.86, 457.9168, 310.0902, 442.6497, 715.2158, 562.5177, 452.1458, 1223.182, 1180.324, 1399.038, 705.3469, 253.4283
199.5, 3.943448, 18.42639, 101.8447, 313.0106, 649.9607, 184.4474, 438.8146, 290.3079, 418.3526, 669.336, 958.0429, 424.029, 1834.667, 1112.015, 1355.884, 819.0623, 501.3286
199.6, 3.636249, 17.41703, 94.02639, 298.4873, 873.8782, 211.2675, 569.7362, 283.249, 395.3892, 626.3993, 978.6288, 396.8595, 2161.96, 1756.725, 1293.021, 983.6441, 472.0179
