 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
17.28669957314592, 518.9742, 81.11681, 49.48801, 137.8741, 36.6656, 52.65685, 27.00073, 149.7216, 170.5172
17.38662269206584, 508.5922, 92.17223, 47.24821, 130.7216, 35.07645, 50.25737, 25.90765, 153.4717, 162.8766
17.48654581098576, 500.397, 87.76752, 45.10978, 123.9401, 33.55618, 47.96724, 27.38011, 148.951, 173.4065
17.58646892990568, 479.2622, 90.36562, 43.06814, 125.8801, 32.1018, 50.29896, 26.27167, 149.922, 165.6364
17.6863920488256, 477.3384, 88.16822, 41.1189, 142.6868, 30.71045, 48.00693, 25.2081, 165.7299, 173.5481
17.78631516774551, 467.0195, 92.96097, 39.25788, 135.2846, 29.37941, 45.81935, 24.18759, 164.782, 166.7538
17.88623828666544, 463.3315, 88.51855, 37.48109, 128.2664, 28.10606, 57.87076, 33.73974, 163.6117, 159.2818
17.98616140558535, 468.2263, 88.22637, 42.05854, 131.1301, 29.49653, 55.2337, 32.37384, 156.5984, 160.8999
18.08608452450527, 483.3638, 99.32221, 41.29898, 136.9001, 28.2181, 52.7168, 31.06324, 149.8858, 153.6901
18.18600764342519, 469.9244, 111.0087, 39.42981, 129.7981, 26.99508, 50.31459, 29.80569, 143.4609, 147.9791
18.28593076234511, 464.3316, 105.7038, 45.73649, 123.0645, 29.96106, 48.02185, 28.59905, 154.3242, 141.3484
18.38585388126503, 454.3526, 100.6525, 48.0116, 125.832, 28.6625, 45.83359, 27.44127, 147.709, 153.3334
18.48577700018495, 448.1764, 95.84251, 45.83862, 119.3042, 27.42022, 43.74504, 26.33035, 141.3774, 146.4627
18.58570011910486, 458.6549, 91.26239, 43.76399, 120.1122, 26.23178, 51.82123, 26.45583, 162.4108, 139.8999
18.68562323802478, 462.1365, 86.90115, 41.78326, 113.8811, 25.09485, 49.45983, 25.38481, 155.449, 133.6312
18.7855463569447, 442.6177, 82.74833, 39.89217, 107.9733, 24.0072, 58.84128, 24.35714, 148.7856, 127.6433
18.88546947586462, 423.9233, 78.79396, 47.3044, 102.3719, 22.96668, 58.89925, 23.37108, 142.4079, 121.9238
18.98539259478454, 406.0185, 75.02856, 45.16343, 97.06116, 21.97127, 56.21532, 22.42494, 136.3035, 116.4606
19.08531571370446, 388.8698, 71.44311, 43.11936, 92.02591, 21.019, 53.65369, 27.57186, 130.4608, 111.2421
19.18523883262437, 419.3368, 81.63905, 41.1678, 109.8092, 20.108, 61.07216, 26.45565, 165.6033, 111.0669
19.28516195154429, 404.4861, 94.84003, 39.30457, 131.32, 19.23648, 70.64657, 25.38464, 158.5047, 106.0901
19.38508507046421, 403.948, 96.5671, 37.52567, 124.5075, 18.40274, 67.42734, 31.01045, 151.7103, 128.9216
19.48500818938413, 407.9159, 111.8441, 35.82728, 134.4348, 17.60513, 64.3548, 33.43517, 155.7386, 123.1448
19.58493130830405, 390.6871, 118.9768, 34.20576, 132.0163, 19.31653, 61.42228, 32.0816, 154.3886, 117.6269
19.68485442722397, 392.4834, 113.2911, 32.65763, 125.1676, 18.47932, 58.62338, 30.78283, 162.1225, 143.211
19.78477754614389, 397.9407, 122.374, 31.17956, 147.498, 17.6784, 55.95203, 29.53664, 157.0383, 150.0306
19.88470066506381, 391.8185, 116.526, 29.76839, 139.8463, 18.9419, 53.4024, 41.25919, 150.3068, 143.308
19.98462378398373, 394.7278, 110.9575, 28.42109, 132.5915, 18.12092, 50.96895, 39.58887, 165.0617, 155.1869
20.08454690290364, 378.0561, 111.6259, 27.13477, 125.713, 17.33553, 48.64639, 37.98618, 157.9862, 148.2332
20.18447002182356, 375.6704, 106.2915, 25.90666, 119.1914, 16.58418, 46.42967, 36.44837, 163.2986, 141.591
20.28439314074348, 364.0114, 109.7484, 24.73414, 140.2791, 27.4773, 70.23576, 34.97282, 158.787, 135.2465
20.3843162596634, 353.0287, 104.5037, 23.61469, 133.0018, 26.28638, 67.03525, 33.557, 157.3961, 131.1868
20.48423937858332, 356.8863, 115.7272, 22.54591, 136.4975, 26.48742, 63.98058, 32.1985, 163.7085, 127.3943
20.58416249750324, 346.0789, 110.1968, 21.52549, 129.4164, 25.33941, 61.06511, 40.13807, 156.691, 140.9139
20.68408561642315, 366.8065, 104.9307, 20.55126, 135.9245, 24.24116, 58.28249, 38.51314, 171.0396, 134.5998
