 , C000, C005, C006, C008, C011, C014, C015, C016, C018, C019, C020, C022, C023, C025, C028, C030, C032, C033, C035, C037, C038, C040, C041, C043, C044, C045, C047, C049, C053, C055, C056, C057, C061, C062, C067, C069
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
118.8, 146.4267, 429.2549, 298.0298, 6.803516, 516.3395, 103.1402, 521.5668, 421.2599, 75.63206, 8.826528, 89.70457, 245.5367, 1365.027, 1036.086, 0.009310497, 359.4521, 332.0549, 397.2694, 271.6337, 738.3536, 1111.747, 440.9955, 56.37707, 208.9512, 491.924, 109.3748, 126.9138, 4.041997, 842.926, 628.6862, 140.5949, 1.605512, 705.3781, 1458.229, 781.1107, 0.602107
118.9, 140.0273, 422.1293, 285.4598, 6.507419, 494.8389, 98.81162, 615.4446, 403.5529, 72.47157, 8.411883, 85.82864, 328.7196, 1432.869, 1064.328, 0.00890852, 354.772, 340.8568, 408.7429, 260.53, 703.4338, 1059.09, 422.7588, 54.09622, 200.278, 467.4798, 104.377, 121.7359, 3.852394, 803.7109, 602.4604, 214.9318, 1.539002, 717.8804, 1394.287, 745.2958, 0.5763853
119, 133.9076, 418.7147, 273.42, 6.224208, 474.2336, 94.66469, 673.3021, 386.5901, 69.44315, 8.016718, 82.12019, 400.5259, 1369.599, 1082.781, 0.008523897, 377.0678, 324.963, 441.7728, 249.8801, 670.1654, 1161.296, 539.2883, 51.90764, 191.9649, 444.2502, 99.60755, 116.7693, 3.671684, 766.3203, 577.3287, 271.9164, 1.475246, 687.3478, 1333.149, 711.123, 0.5517624
119.1, 128.0553, 400.9127, 261.8879, 5.953323, 492.4302, 90.69179, 643.0638, 405.9263, 66.54128, 7.640116, 78.57198, 382.6652, 1368.382, 1043.187, 0.008155881, 361.4512, 309.8103, 422.1918, 239.6656, 890.1552, 1106.293, 516.9869, 49.80761, 183.9968, 422.175, 95.05604, 112.0053, 3.499451, 730.6692, 553.2453, 259.5292, 1.414132, 742.2728, 1274.691, 678.5172, 0.5281914
119.2, 122.4588, 389.5665, 331.4955, 5.694227, 471.9252, 86.88563, 614.1836, 388.8638, 63.76068, 7.281205, 75.17706, 371.6043, 1333.713, 1000.079, 0.007803754, 346.4814, 295.3642, 403.4787, 229.8686, 848.056, 1053.894, 495.6078, 47.79254, 176.3595, 401.1967, 90.7125, 107.4356, 3.335298, 908.0505, 708.8433, 247.7063, 1.35555, 710.7028, 1218.797, 647.4063, 0.5056273
119.3, 117.1069, 373.0038, 317.514, 5.446407, 452.274, 83.2392, 632.8594, 372.5185, 61.09627, 6.939155, 71.92884, 360.8524, 1416.787, 1038.001, 0.00746683, 332.1316, 281.5916, 385.595, 220.4721, 807.9478, 1003.978, 475.1128, 45.85899, 364.3147, 381.2608, 86.56744, 103.0524, 3.178844, 865.8058, 679.2737, 236.422, 1.299395, 680.4756, 1165.354, 617.7219, 0.4840271
119.4, 111.9889, 357.1453, 304.1222, 5.209373, 433.4411, 79.74581, 604.4374, 443.9504, 58.5432, 6.613173, 68.82096, 344.7608, 1395.045, 995.1082, 0.007144453, 329.2197, 268.4613, 368.504, 256.443, 769.7365, 1189.363, 455.4653, 44.00367, 421.6425, 362.3155, 82.61179, 98.84805, 3.02973, 825.5264, 650.9377, 225.6517, 1.245566, 651.5339, 1114.254, 589.3986, 0.4633497
119.5, 107.0946, 341.961, 321.9237, 4.982654, 415.3924, 76.39903, 577.2918, 425.2896, 56.09681, 6.302506, 65.84737, 329.3867, 1381.084, 975.7162, 0.006835993, 315.5848, 270.2431, 352.1705, 245.9602, 733.3324, 1161.084, 436.6302, 42.22342, 404.141, 344.3117, 78.83689, 94.8152, 2.88761, 787.1208, 623.7837, 215.372, 1.193967, 623.8232, 1065.395, 562.374, 0.4435556
119.6, 102.4141, 327.4222, 308.346, 4.765803, 398.0953, 73.19271, 735.9161, 407.4132, 53.75266, 6.006433, 63.00226, 314.6983, 1369.659, 935.3972, 0.006540852, 302.5146, 257.6419, 336.561, 235.9059, 698.65, 1132.552, 418.5741, 40.51518, 387.3659, 327.2025, 75.23448, 90.94689, 2.752157, 750.502, 687.4075, 205.5607, 1.144505, 699.7924, 1018.679, 536.5884, 0.4246071
119.7, 97.93825, 313.5016, 295.3409, 4.558389, 505.4914, 70.12095, 702.8658, 390.2882, 51.50646, 5.724268, 60.28008, 410.3414, 1410.587, 902.4894, 0.006258453, 289.9857, 287.0912, 321.6433, 226.2626, 665.6078, 1078.91, 431.8181, 38.87605, 371.2872, 566.1513, 166.0342, 87.2364, 2.623058, 767.7843, 658.7322, 196.1963, 1.097092, 713.793, 974.0106, 511.9852, 0.4064681
